Zip Code,Name,Type,City,State,State FIPS,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Retention Rate,Student Faculty Ratio
35762,Alabama A & M University,4,Normal,AL,1,12,8610,947,0.6622,0.222366710013,14559,N/A,23751,31000,31992,30600,0.6167,19
35294-0110,University of Alabama at Birmingham,4,Birmingham,AL,1,12,12211,1251,0.8842,0.454072145779,17727,N/A,27826,22300,51431,44100,0.822,18
36117-3553,Amridge University,5,Montgomery,AL,1,12,5109,N/A,N/A,0.1328125,N/A,N/A,N/A,32189,34613,40800,N/A,12
35899,University of Alabama in Huntsville,4,Huntsville,AL,1,12,10411,1321,0.7425,0.369397217929,19880,N/A,27098,20705,61771,45900,0.8034,17
36104-0271,Alabama State University,4,Montgomery,AL,1,12,8015,977,0.9564,0.24620303757,13889,N/A,22028,31000,32520,27500,0.6006,16
35487-0100,The University of Alabama,4,Tuscaloosa,AL,1,12,11090,1287,0.7582,0.576646590247,22150,N/A,32024,22750,56012,45600,0.8638,19
35010,Central Alabama Community College,10,Alexander City,AL,1,32,6773,N/A,N/A,0.171003717472,14346,N/A,19815,9766,31468,29300,N/A,17
35611,Athens State University,4,Athens,AL,1,31,9452,N/A,N/A,0.534482758621,N/A,N/A,N/A,18051,48014,40000,N/A,14
36117-3596,Auburn University at Montgomery,4,Montgomery,AL,1,12,8823,1090,0.9263,0.279424977538,14596,N/A,21873,25000,42659,37000,0.683,15
36849,Auburn University,4,Auburn,AL,1,13,11907,1318,0.5047,0.664,23897,N/A,34402,21000,61406,50800,0.9261,21
35254,Birmingham-Southern College,5,Birmingham,AL,1,12,6586,1197,0.5194,0.662962962963,N/A,23351,38385,25000,53677,43500,0.7029,9
36869,Chattahoochee Valley Community College,10,Phenix City,AL,1,21,6268,N/A,N/A,0.148499210111,5814,N/A,12032,10500,34321,28200,N/A,15
36116,South University-Montgomery,6,Montgomery,AL,1,12,6153,N/A,N/A,0.222162162162,N/A,25157,30704,26123,32897,41000,0.4,13
36330-1300,Enterprise State Community College,10,Enterprise,AL,1,32,9427,N/A,N/A,0.101102941176,8187,N/A,14798,7499,37816,40900,N/A,17
36507-2698,Coastal Alabama Community College,7,Bay Minette,AL,1,32,7837,N/A,N/A,0.11568627451,9514,N/A,15171,11000,33539,31100,N/A,15
36109-3390,Faulkner University,5,Montgomery,AL,1,12,6574,1016,0.6613,0.354166666667,N/A,21165,36910,23000,42211,37000,0.6675,13
35903,Gadsden State Community College,10,Gadsden,AL,1,13,7250,N/A,N/A,0.20596797671,3568,N/A,10687,N/A,31231,27200,N/A,17
35951,New Beginning College of Cosmetology,12,Albertville,AL,1,32,N/A,N/A,N/A,0.788461538462,N/A,13055,N/A,9500,17702,N/A,N/A,7
36303-9234,George C Wallace Community College-Dothan,10,Dothan,AL,1,13,7050,N/A,N/A,0.251332149201,2697,N/A,9863,N/A,30306,28500,N/A,14
35077-2000,George C Wallace State Community College-Hanceville,10,Hanceville,AL,1,42,7142,N/A,N/A,0.264331210191,14042,N/A,18748,11000,37446,33000,N/A,19
