Zip Code,School Name,City,State,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Type
35762,alabama a&m university,normal,AL,12.0,8610.0,947.0,0.6622,0.222366710013,14559.0,,23751.0,31000.0,31992.0,30600.0,Public
35294,university of alabama birmingham,birmingham,AL,12.0,12211.0,1251.0,0.8842,0.454072145779,17727.0,,27826.0,22300.0,51431.0,44100.0,Public
36117,amridge university,montgomery,AL,12.0,5109.0,,,0.1328125,,,,32189.0,34613.0,40800.0,
35899,university of alabama in huntsville,huntsville,AL,12.0,10411.0,1321.0,0.7425,0.369397217929,19880.0,,27098.0,20705.0,61771.0,45900.0,Public
36104,alabama state university,montgomery,AL,12.0,8015.0,977.0,0.9564,0.24620303757,13889.0,,22028.0,31000.0,32520.0,27500.0,Public
35487,university of alabama,tuscaloosa,AL,12.0,11090.0,1287.0,0.7582,0.576646590247,22150.0,,32024.0,22750.0,56012.0,45600.0,Public
35010,central alabama community college,alexander city,AL,32.0,6773.0,,,0.171003717472,14346.0,,19815.0,9766.0,31468.0,29300.0,Public
35611,ans state university,athens,AL,31.0,9452.0,,,0.534482758621,,,,18051.0,48014.0,40000.0,
36117,auburn university montgomery,montgomery,AL,12.0,8823.0,1090.0,0.9263,0.279424977538,14596.0,,21873.0,25000.0,42659.0,37000.0,Public
36849,auburn university,auburn,AL,13.0,11907.0,1318.0,0.5047,0.664,23897.0,,34402.0,21000.0,61406.0,50800.0,Public
35254,birmingham sourn college,birmingham,AL,12.0,6586.0,1197.0,0.5194,0.662962962963,,23351.0,38385.0,25000.0,53677.0,43500.0,Private
36869,chattahoochee valley community college,phenix city,AL,21.0,6268.0,,,0.148499210111,5814.0,,12032.0,10500.0,34321.0,28200.0,Public
36116,south university montgomery,montgomery,AL,12.0,6153.0,,,0.222162162162,,25157.0,30704.0,26123.0,32897.0,41000.0,Private
36330,enterprise state community college,enterprise,AL,32.0,9427.0,,,0.101102941176,8187.0,,14798.0,7499.0,37816.0,40900.0,Public
36507,coastal alabama community college,bay minette,AL,32.0,7837.0,,,0.11568627451,9514.0,,15171.0,11000.0,33539.0,31100.0,Public
36109,faulkner university,montgomery,AL,12.0,6574.0,1016.0,0.6613,0.354166666667,,21165.0,36910.0,23000.0,42211.0,37000.0,Private
35903,gadsden state community college,gadsden,AL,13.0,7250.0,,,0.20596797671,3568.0,,10687.0,,31231.0,27200.0,Public
35951,new beginning college of cosmetology,albertville,AL,32.0,,,,0.788461538462,,13055.0,,9500.0,17702.0,,Private
36303,george c wallace community college dothan,dothan,AL,13.0,7050.0,,,0.251332149201,2697.0,,9863.0,,30306.0,28500.0,Public
35077,george c wallace state community college hanceville,hanceville,AL,42.0,7142.0,,,0.264331210191,14042.0,,18748.0,11000.0,37446.0,33000.0,Public
36702,george c wallace state community college selma,selma,AL,32.0,6779.0,,,0.226890756303,970.0,,9505.0,,27797.0,26000.0,Public
35209,herzing university birmingham,birmingham,AL,21.0,6744.0,,0.9449,0.338302172815,,20957.0,27195.0,21500.0,38007.0,35100.0,Private
36106,huntingdon college,montgomery,AL,12.0,7723.0,1148.0,0.7083,0.515060240964,,21401.0,39686.0,27000.0,46532.0,39900.0,Private
35630,heritage christian university,florence,AL,13.0,5489.0,,1.0,,,,,,41353.0,,
35811,j f drake state community and technical college,huntsville,AL,12.0,6510.0,,,0.030555555556,4644.0,,11908.0,,25880.0,24300.0,Public
36022,j f ingram state technical college,deatsville,AL,41.0,,,,,,,,,,,
36265,jacksonville state university,jacksonville,AL,23.0,7774.0,1055.0,0.7622,0.455089820359,14850.0,,23422.0,22189.0,43146.0,34900.0,Public
35215,jefferson community college,birmingham,AL,12.0,7555.0,,,0.137487636004,9024.0,,14384.0,9689.0,36997.0,32500.0,Public
35671,john c calhoun state community college,tanner,AL,13.0,7418.0,,,0.128973660309,7336.0,,12687.0,12000.0,35178.0,30700.0,Public
35221,lawson state community college,birmingham,AL,12.0,7388.0,,,0.159220146223,6564.0,,15028.0,,29498.0,25700.0,Public
