rank,name,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
1,Princeton University,NJ,A-,189400.0,8631,Urban,medium,"Princeton University is a private Ivy League research university located in Princeton, New Jersey. As the fourth oldest college in the United States, Princeton has a deep history that spans 276 years. The university offers 37 degree concentrations and over 50 interdepartmental certificate programs, with some of the most popular majors being social sciences, engineering, public administration, and social service professions. Princeton provides generous financial aid, covering 100% of tuition and housing for families earning up to $65,000 for the class of 2026. In 2022, Princeton reported an endowment valued at $35.8 billion to help fund university-wide research, service programs, and financial aid to help students graduate debt free. Campus traditions allow Ivy League sports rivalries to live on—students celebrate defeating Harvard and Yale in the same season by creating a bonfire by burning crates decorated with the rival team’s colors and logos. Keeping with tradition, students conclude the end of each course with a round of applause in appreciation to the professor once the final lecture is given, writes Amélie Lemay, who described her 2021 freshman semester at Princeton University. ",princeton-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,46996888.0,62.0,61.0
2,Stanford University,CA,A+,177500.0,20490,Suburban,large,"The San Francisco Bay Area is home to Stanford University’s more than 7,700 undergraduate students and nearly 10,000 graduate students for its Autumn 2022 quarter. Recognized globally for its STEM programs, Stanford also presents academic offerings from each of its seven schools, including humanities, law, and business. The university boasts a 5:1 student-to-faculty ratio, with 2,304 faculty members. Stanford has produced a number of notable alumni, including Nobel Prize winners Carl Wieman, Paul Milgrom, and Roger Kornberg - who continues to teach at the university’s School of Medicine. Of the 600+ campus buildings, the majority of the student body either lives in one of the 81 undergraduate on-campus housing facilities or the 151 graduate on-campus residences. Keeping with tradition, students attend sporting rivalries like the Big Game against UC Berkeley, go fountain hopping, and hit their most unique stride for the ""Wacky Walk"" during Stanford commencements.",stanford-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,67892960.0,68.0,53.0
3,Massachusetts Institute of Technology,MA,A,189400.0,12923,Urban,large,"The Massachusetts Institute of Technology (MIT) is known for its innovative discoveries in science, research, and technology. The university’s acceptance rate is just as competitive, having only admitted 3.9% of its more than 33,000 applicant pool for the class of 2026. Last year’s fiscal year saw MIT’s endowment total $24.6 billion, with funds going toward research, education, and scholarships. As of 2023, families with a typical income of less than $140,000 will have tuition fully covered for undergraduate students, thanks to endowments. Apart from its wide range of academic programs, incoming students can expect to sport MIT’s cardinal red and silver gray colors around campus. What thrives almost as much as its education, is the school’s prank culture that includes everything from stealing a giant inflatable duck from Harvard to draping a Duke University flag across a campus building to welcome newly appointed MIT president Sally Kornbluth’s transition from Duke. ",massachusetts-institute-of-technology,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,37931652.0,79.0,71.0
4,Yale University,CT,A+,168300.0,15828,Urban,large,"Yale University carries a centuries-long history that cements its place among the Ivy League and stands as one of the most prestigious schools in the United States. In 2023, Yale’s competitive admissions reportedly accepted less than 5 percent of applicants, the lowest acceptance rate in recent school history. The university offers degree-granting academic programs from 14 schools, including Yale College, Graduate School of Arts & Sciences, and Yale Professional School. The university prides itself on its research efforts, with over 70 core research facilities and $900 million in external funding for fiscal year ‘22. Over half of undergraduate students received scholarships/grants for 2021-22. New students are expected to reside at Yale’s on-campus housing facilities for their first and second years, so they can look forward to making New Haven their new home. Students can engage with the Yale community by taking part in athletic traditions and meeting Handsome Dan, the school’s bulldog mascot.",yale-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,58441279.0,59.0,52.0
5,"University of California, Berkeley",CA,,167000.0,47911,Urban,large,"UC Berkeley’s achievements extend beyond academics with pride rooted in history, discovery, and societal contributions. With over 35,000 students, students can choose from 350-degree programs in 130 academic departments. Not only is UC Berkeley the #1 all-time top producer of Peace Corps members, but it boasts an impressive alumni base of 35 Nobel Prizes recipients - 9 of them held by current faculty. Just as notable as its vast academic selection is UC Berkeley’s athletics. 121 gold Olympic medals have been awarded to students and alumni and remains highly decorated with 98 National championships. In 2023, the university saw record highs of California student applications from its over 125,800 admission pool. Students who become a “Golden Bear” are greeted with blue and gold campus colors, will meet Oski the Cal mascot, and participate in card stunts at sporting events, where hundreds of students hold up cards that collectively display the famous UC Berkeley logo. ",university-of-california-berkeley,Public,Doctoral Universities: Very High Research Activity,19,77402184.0,60.0,52.0
6,Columbia University,NY,A+,156000.0,37368,Urban,large,"Columbia University in the City of New York is located in the Upper Manhattan community, where students benefit from the city’s immersive culture and vast resources. Colombia is considered the most diverse school in the Ivy League and promotes diversity and inclusion by gaining a strong demographic of international students, faculty, and staff. Just as unique as its sprawling community is Columbia’s academic programs which comprise three undergraduate schools and thirteen graduate and professional schools, with engineering, political science, and economics as its most popular majors. Columbia’s Department of Economics is ranked as one of the top institutions for economics research in the world. The university is also home to a globally recognized medical center, affiliated colleges and seminaries, and more than 100 research centers and institutes. Columbia is no stranger to inclusivity, as students gather for a number of events, including Latinx Heritage Month, Holi celebration, and Powwow, which celebrates indigenous communities. Other rites of passage include first-year students running through Columbia University’s gates and the ever-so-popular “Bad Poetry Contest” hosted by Columbia’s Philolexian Society.",columbia-university-in-the-city-of-new-york,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,50313904.0,57.0,52.0
7,University of Pennsylvania,PA,A+,171800.0,32618,Urban,large,"The University of Pennsylvania is a private research institution located in West Philadelphia, Pennsylvania. With historical ties dating back to 1740, U.S. founding father Benjamin Franklin is credited for his profound effect on the university. The Ivy League school delivers more than 90 majors across four undergraduate schools and 12 graduate schools, including the Perelman School of Medicine, ​​the popular College of Arts and Sciences, and The Wharton School—the world’s first collegiate business school. UPenn ranks 1st among Ivy League schools in the number of students studying abroad and the university received $20.72 billion in endowments in fiscal year 2022. As a research-heavy institution, UPenn has 182 research centers & institutes and operates on a research budget of $1.47 billion in 2022. Fall 2022 saw an enrollment of over 28,000 total students with the 2026 class accounting for just over 2,400 students. Home of the Quakers, student traditions take an unorthodox approach, from toast throwing at games to the “Econ Scream”, where students gather to collectively cry out at midnight before the first Microeconomics 001 midterm exam. Notable UPenn alumni include Tesla CEO Elon Musk, musician John Legend, and investor Warren Buffett. ",university-of-pennsylvania,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,61977581.0,57.0,46.0
8,Harvard University,MA,A,171400.0,39374,Urban,large,"Harvard University is the oldest institution of higher learning in the United States with a history that dates back to 1636. Located in Cambridge, Massachusetts, the Ivy League university has been considered the gold standard of higher education throughout its 387-year history. With an admit rate of only 3.2 percent for the class of 2026, competition continues to run high. Harvard offers degrees from its 13 schools for undergraduate and graduate students, along with professional learning opportunities through its executive education, certificate programs, and online courses. In addition to the main campus in Cambridge, Harvard has locations in Allston and Boston, Mass. Despite the increasing cost to attend, Harvard announced it would expand financial aid for the 2023-24 academic year for families making up to $85,000 annually. Thanks to the expansion, families will not have to fund tuition, room, or board. Students can engage in campus life through volunteer activities, and cultural celebrations and participate in the longstanding rivalry against Yale known as “The Game.” The university has produced a wide range of successful alumni, including eight U.S. presidents, over 20 tech moguls, and nearly 30 billionaire alumni.",harvard-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,67610733.0,72.0,56.0
9,Rice University,TX,A,152100.0,8782,Urban,medium,"Established within the heart of Houston, Rice University’s private research institution is home to over eight-thousand students. Rice offers more than 50 undergraduate majors where students can take full advantage of small class sizes, thanks to the university’s 6:1 student-to-faculty ratio. Admissions data revealed an acceptance rate of only 7.7 percent for the class of 2027—a record low for the university. Enrolled out-of-state and international students outnumbered those in Texas, accounting for the majority of the class of 2026 student body. The school’s endowment was valued at $7.8 billion for the fiscal year ending June 30, 2022. Rice combines academics and campus life through what it describes as an “unconventional culture”, where students cultivate community and belonging by staying at one of the 11 assigned residential colleges. Campus traditions encourage students to show off their school spirit by cheering on the Rice Owls during game time. Rice University’s relationship with Nasa remains strong, producing 14 alumni and faculty members who served as astronauts, along with former NASA administrator and alumni, Jim Bridenstine.",rice-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,35693075.0,67.0,56.0
10,Cornell University,NY,A+,155400.0,26304,Urban,large,"Cornell University is a private, Ivy League university located in Ithaca, New York. With more than 15,000 undergraduate students and 2,000 faculty members, the institution strives to provide research and public engagement opportunities. Building on its innovative history and recognition, the curriculum encourages purposeful discovery through learning. With more than 1,000 student organizations, intramural and club sports teams and more, students will have memorable experiences and forge relationships outside the classroom. The Herbert F. Johnson Museum of Art, located on Cornell campus, offers free admission to all students and hosts hundreds of Cornell class sessions from more than 50 departments and programs every school year. Noteworthy alumni include Ruther Bader Ginsburg, Bill Nye the Science Guy, Toni Morrison and Christopher Reeve. ",cornell-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,103071054.0,59.0,51.0
