Zip Code_1,school,Type_1,City_1,State_1,State FIPS_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,Retention Rate_1,Student Faculty Ratio_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,overall satisfaction_3,campus setting_3,student housing_3,resources_3,safety_3,teacher support_3,school admin_3,prestige_3,student competitiveness_3,student intelligence_3,party scene_3,greek life_3,student attractiveness_3,average_3,Average Net Price_1
79699,abilene christian university,Private,abilene,TX,48,12.0,8590.0,1189.0,0.6388,0.513994910941,56121.0,24250.0,52257.0,42400.0,0.7904,13.0,328,TX,A,110800.0,5760,Urban,medium,"Abilene Christian University in Abilene, TX, is a private university that educates students for Christan service and leadership. Undergraduates can choose from over 70 majors in the arts and sciences, business, education, nursing and biblical studies. ACU has a satellite campus in Addison, TX, which serves as the hub to the university’s online programs. ACU offers study abroad opportunities with its faculty in Oxford, England; Montevideo, Uruguay; and Leipzig, Germany, and about 40% of students learn internationally. The university also provides faculty-guided funding to promote undergraduate research, up to $10,000. Spiritual formation is a cornerstone of the ACU experience, and students are required to attend daily chapel services and practice Christian values, like chastity outside of marriage. Students also get involved in more than 100 student organizations, including Greek life, and global and domestic missions. ACU has a block tuition system in which students can take up to 36 hours across the fall, spring and summer sessions for one price. Automatic merit awards range from $10,000 to $19,000 annually.",abilene-christian-university,Private not-for-profit,Doctoral/Professional Universities,13,21891542.0,100.0,100.0,82.7,64.1,46.2,65.4,70.5,71.8,56.4,69.2,62.8,64.1,30.6,41.7,80.6,62.01,27401.0
11530,adelphi university,Private,garden city,NY,36,21.0,13227.0,1224.0,0.7751,0.706500956023,57444.0,25000.0,71399.0,56200.0,0.8428,12.0,271,NY,C-,108000.0,8463,Suburban,medium,"Adelphi University’s mission is to create a personalized education for a diverse student body. The private university, located an hour away from New York York City in Garden City, NY, is completing a six-year strategic plan to increase fundraising and implement diversity and inclusion initiatives. The university offers about 60 bachelor’s programs across seven of its schools and colleges. About one-quarter of students pursue nursing. Psychology and biology are also popular majors.  About 94% of the class of 2019 found employment or enrolled in graduate school within six months of graduating. The average reported salary of Adelphi class of 2019 graduates was about $75,000. There are more than 90 registered clubs and organizations on campus, including 20 Greek life organizations. Adelphi is home to Bridges Launch, a three-week program for students with autism or nonverbal learning disabilities to transition to college. The university was recognized for having resources for these students available on campus.",adelphi-university,Private not-for-profit,Doctoral/Professional Universities,12,35859059.0,97.0,95.0,61.5,71.8,51.3,67.9,71.8,65.4,51.3,53.8,47.4,64.1,56.4,53.8,60.3,59.75,28348.0
20016,american university,Private,washington,DC,11,11.0,13264.0,1392.0,0.4738,0.751326762699,71549.0,22750.0,70443.0,56400.0,0.8622,10.0,141,DC,B-,129900.0,16934,Urban,large,"American University in Washington, D.C. is a private research university of more than 13,000 students. The 90-acre urban campus allows students to combine traditional college settings with the advantages of a global capital city. AU offers more than 170 programs across eight schools, with a large portion of undergraduates studying international relations, business administration, and communications. Around 90% of undergraduates complete at least one internship before graduation. Of the incoming students at American University, 80% of them receive financial aid, and nearly $100 million worth of financial aid is awarded to undergraduates per year. Since 2017, the university has been led by Sylvia Burwell, former U.S. secretary of health and human services and American University’s first woman president. Students can stay involved through AU’s 250 student-run organizations, 25 clubs sports, or special events that include live music festivals, guest speakers and seminars. Several news anchors such as David Gregory and Alisyn Camerota graduated from American University, as did four current members of Congress.",american-university,Private not-for-profit,Doctoral Universities: High Research Activity,11,42361894.0,83.0,66.0,68.8,64.2,45.8,60.8,77.5,65.0,50.8,67.5,62.5,63.3,45.8,24.6,60.5,58.24,41945.0
1002,amherst college,Private,amherst,MA,25,13.0,14540.0,1494.0,0.0982,0.842639593909,83650.0,13740.0,86438.0,64800.0,0.9602,7.0,24,MA,A+,139700.0,2041,Suburban,small,"Amherst College is a private liberal arts college in Amherst, Massachusetts. With small classes, an open curriculum, and a sole focus on undergraduate education, the average class size is about 19 students and the full-time instructional faculty is just over 200. On campus, The Powerhouse is a renovated steam plant that now hosts live performances, movie screenings, art exhibits, panel discussions, pub nights, outdoor picnics and more. The Amherst College Wildlife Sanctuary rests on about 500 acres of land and is the site of ongoing research and teaching by students and faculty. The land is managed by the Amherst Facilities Department to support conservation of animals. The Amherst mascot is a mammoth and their colors are purple and white. The distinguished science program at Amherst offers The Incubator Program, a cohort designed to support and train students who are underrepresented in STEM disciplines, and The Moss Quantitative Center where students learn to analyze data. A commencement tradition is to give each graduate a chestnut cane known as The Conway Canes. This Amherst tradition is a metaphor for a college education, because it supports graduates throughout their lives. Noteworthy alumni include the 30th president of the United States Calvin Coolidge, economist Joseph Stiglitz, and author David Foster Wallace. ",amherst-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,17490565.0,66.0,58.0,84.6,81.9,58.3,71.8,80.8,83.3,56.9,89.7,68.1,86.1,56.9,6.9,50.0,67.33,18246.0
28608,appalachian state university,Public,boone,NC,37,32.0,8995.0,1187.0,0.8864,0.685619735259,22654.0,20231.0,48423.0,38100.0,0.841,16.0,256,NC,,99800.0,22221,Rural,large,"Located in Boone, NC, in the Blue Ridge Mountains, Appalachian State University seeks to create a sustainable community and give students a range of academic opportunities. The university offers around 170 majors for students to pursue. The most popular programs are in exercise science, psychology and elementary education. More than 40% of undergraduates participate in an academic internship each year. Undergraduates are also allowed to partake in stipend-funded research assistantships during the fall and spring semesters. There are more than 400 student clubs on campus, including 32 Greek life organizations. The university awards 50 North Carolina students from low-income families the ACCESS Scholarship, which allows them to attend the school debt-free. The university also gives many merit scholarships and departmental academic scholarships.",appalachian-state-university,Public,Master's Colleges & Universities: Larger Programs,16,14356893.0,70.0,47.0,86.9,84.9,52.4,73.0,76.2,76.2,67.5,63.5,60.8,68.3,76.2,54.8,72.2,70.22,16487.0
36849,auburn university,Public,auburn,AL,1,13.0,11907.0,1318.0,0.5047,0.664,34402.0,21000.0,61406.0,50800.0,0.9261,21.0,117,AL,,123300.0,34568,Urban,large,"Auburn University is a public research university located in Auburn, Ala. Founded as a men’s Methodist college, Auburn has since developed into one of the largest universities in the South with more than 30,000 students. Auburn offers more than 150 undergraduate majors across 12 colleges. The most popular majors are business administration, mechanical engineering, finance, and biomedical studies. As a recognized Carnegie R1 research university, undergraduate students are able to participate in interdisciplinary academic research for credit. Auburn has an additional campus in Montgomery, Ala. Of the more than 300 clubs and organizations, there are about 50 Greek life chapters at Auburn. On the annual tradition of “Hey Day,” Auburn students are encouraged to greet any student or faculty member they come across on campus. Before each football game, handlers release a live golden eagle known as the “War Eagle” to fly around Jordan-Hare Stadium. The university’s two eagles are also part of educational programs in veterinary medicine. A number of famed alumni achieved worldwide recognition, including Apple CEO Tim Cook, former NBA star Charles Barkley, Oscar-winning actress Octavia Spencer, and current Alabama governor Kay Ivey.",auburn-university-main-campus,Public,Doctoral Universities: Very High Research Activity,20,38057494.0,79.0,74.0,79.8,85.3,55.1,74.7,76.3,64.1,59.0,72.4,61.3,60.3,77.6,66.7,81.4,70.31,23897.0
2457,babson college,Private,wellesley,MA,25,21.0,19491.0,1435.0,0.1974,0.890510948905,77248.0,20000.0,102507.0,95800.0,0.9456,16.0,96,MA,B+,175200.0,4256,Suburban,medium,"Babson College is a private business school in Wellesley, Massachusetts and was established in 1919 with a central focus of entrepreneurship education. Babson’s undergraduate program gives students a hands-on business school experience mixed with the liberal arts and sciences. The Foundations of Management and Entrepreneurship is a required course at Babson where first-year undergraduate students learn to build and run their own business. Students then showcase their creations and business-plan at the annual FME Expo at the Len Green Recreation and Athletics Complex. Babson hosts many professional events on campus to provide students with networking opportunities and professors act as mentors. Advanced Experiential is a required course for third or fourth year students that include applied projects at companies and nonprofits. The Babson Leadership Academy guides students to improve leadership competence, the Student Government Association is the voice of the student body where students can play an active role in organizing and implementing campus-wide programming. At Babson, 24 undergraduate concentrations and 7 graduate concentrations provide an opportunity for students to pursue interests that align with long-term goals. Notable alumni include President of Toyota Akio Toyoda, co-founder of The Home Depot Arthur Blank, Princess Marie of Denmark, Swiss businessman Ernesto Berterelli, businessman Gustavo Cisneros, and the great-grandson of Henry Ford I Edsel Ford II.",babson-college,Private not-for-profit,Special Focus Four-Year: Business & Management Schools,16,13425562.0,70.0,68.0,75.0,76.4,65.3,66.7,81.9,72.2,62.5,66.7,75.0,69.4,39.4,40.9,47.0,64.49,38876.0
12504,bard college,Private,annandale-on-hudson,NY,36,41.0,12376.0,1387.0,0.5229,0.626666666667,81661.0,24254.0,37534.0,39000.0,0.8692,9.0,329,NY,A-,107100.0,3049,Rural,medium,"Situated on 1,000 acres overlooking the Hudson River and the Catskill Mountains, Bard College in Annandale-on-Hudson, NY, stresses the importance of multidisciplinary studies and rigorous liberal arts education. The college has 35 standalone majors across four divisions, as well as the option for interdivisional programs and concentrations. Students who study fine arts or social sciences make up more than half of the student body. There are more than 150 student clubs on campus, including a variety of performing arts groups, political organizations and service opportunities. About 73% of undergraduate students receive financial aid from the college, covering on average 63% of the cost of attendance. The college offers many scholarships, such as the “New Generation” Scholarship for those whose parents were born outside of the U.S.",bard-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,20415600.0,85.0,81.0,84.8,82.8,70.0,82.8,87.1,88.3,80.9,79.4,69.5,84.3,77.6,7.5,72.7,74.44,31771.0
76798,baylor university,Private,waco,TX,48,12.0,11631.0,1313.0,0.5099,0.755983106523,70130.0,23000.0,61504.0,51200.0,0.905,15.0,152,TX,A-,123300.0,23218,Urban,large,"The world’s largest Baptist university, Baylor University in Waco, Texas applies faith-based principles to scholarly and artistic pursuits. Baylor’s history dates back to 1845, making it the oldest continually operating university in the state. Of the more than 125 majors and minors offered, nursing is one of the largest programs at Baylor, while biology, accounting, and communications are also popular. The Carnegie Classification recognized Baylor as an R1 university, putting them at the forefront of research and discovery in higher education. Baylor’s endowment value reached $2 billion in fiscal year 2022—an all-time high for the university. $72 million went to scholarships, professorships and more. More than 90% of Baylor undergraduates receive financial aid through endowed scholarships, loans, or private grants. Baylor hosts more than 375 student organizations. The Baylor Bears have 19 sports teams, with more than 500 student-athletes. Baylor is one of the only private institutions in the NCAA Division I Big 12 Conference. The university has forged several gameday traditions, including “sailgating” along the Brazos River or playing against Baylor’s oldest Texas rival, Texas Christian University.",baylor-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,92039661.0,97.0,96.0,70.8,80.6,52.8,71.3,71.3,73.1,56.5,71.3,66.7,73.1,38.0,51.9,76.9,65.72,41942.0
40404,berea college,Private,berea,KY,21,32.0,8894.0,1248.0,0.3271,0.590697674419,56068.0,3591.0,39459.0,32100.0,0.8507,9.0,456,KY,A,81600.0,1531,Rural,small,"Berea College, located in Berea, KY, guarantees that no student at the college has to pay tuition through awarding a Tuition Promise Scholarship valued at almost $200,000 over four years. Students at Berea are expected to participate in the work program at the college, where they work at least 10 hours per week throughout each regular term. Out of 44 undergraduate fields of study, including the popular biology, computer science and industrial production technologies, there is an option to create a custom major. About 93% of the class of 2019 graduates had studied abroad, fulfilled a paid internship, completed a service-learning course or participated in faculty-led research by the time they graduated. Berea College has a number of performing arts clubs, including music and theatre groups. There are also several campus publications and many multicultural organizations.",berea-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,18690723.0,100.0,100.0,70.8,68.1,47.2,62.5,76.4,83.3,56.9,80.6,58.3,59.7,30.3,0.0,51.5,57.35,4483.0
