rank,name,zip code_forbes,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant,school_name_clean,School,zip code_myplan,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score,Zip Code,School Name,City,State,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Type
271,adelphi university,11530,NY,C-,108000.0,8463,Suburban,medium,"Adelphi University’s mission is to create a personalized education for a diverse student body. The private university, located an hour away from New York York City in Garden City, NY, is completing a six-year strategic plan to increase fundraising and implement diversity and inclusion initiatives. The university offers about 60 bachelor’s programs across seven of its schools and colleges. About one-quarter of students pursue nursing. Psychology and biology are also popular majors.  About 94% of the class of 2019 found employment or enrolled in graduate school within six months of graduating. The average reported salary of Adelphi class of 2019 graduates was about $75,000. There are more than 90 registered clubs and organizations on campus, including 20 Greek life organizations. Adelphi is home to Bridges Launch, a three-week program for students with autism or nonverbal learning disabilities to transition to college. The university was recognized for having resources for these students available on campus.",adelphi-university,Private not-for-profit,Doctoral/Professional Universities,12,35859059,97,95,adelphi university,adelphi university,11794,53.8,61.5,67.9,71.8,65.4,51.3,71.8,63.36,11530,adelphi university,garden city,NY,21.0,13227.0,1224.0,0.7751,0.706500956023,,28348.0,57444.0,25000.0,71399.0,56200.0,Private
141,american university,20016,DC,B-,129900.0,16934,Urban,large,"American University in Washington, D.C. is a private research university of more than 13,000 students. The 90-acre urban campus allows students to combine traditional college settings with the advantages of a global capital city. AU offers more than 170 programs across eight schools, with a large portion of undergraduates studying international relations, business administration, and communications. Around 90% of undergraduates complete at least one internship before graduation. Of the incoming students at American University, 80% of them receive financial aid, and nearly $100 million worth of financial aid is awarded to undergraduates per year. Since 2017, the university has been led by Sylvia Burwell, former U.S. secretary of health and human services and American University’s first woman president. Students can stay involved through AU’s 250 student-run organizations, 25 clubs sports, or special events that include live music festivals, guest speakers and seminars. Several news anchors such as David Gregory and Alisyn Camerota graduated from American University, as did four current members of Congress.",american-university,Private not-for-profit,Doctoral Universities: High Research Activity,11,42361894,83,66,american university,american university,20016,67.5,68.8,60.8,77.5,65.0,50.8,64.2,64.94,20016,american university,washington,DC,11.0,13264.0,1392.0,0.4738,0.751326762699,,41945.0,71549.0,22750.0,70443.0,56400.0,Private
24,amherst college,1002,MA,A+,139700.0,2041,Suburban,small,"Amherst College is a private liberal arts college in Amherst, Massachusetts. With small classes, an open curriculum, and a sole focus on undergraduate education, the average class size is about 19 students and the full-time instructional faculty is just over 200. On campus, The Powerhouse is a renovated steam plant that now hosts live performances, movie screenings, art exhibits, panel discussions, pub nights, outdoor picnics and more. The Amherst College Wildlife Sanctuary rests on about 500 acres of land and is the site of ongoing research and teaching by students and faculty. The land is managed by the Amherst Facilities Department to support conservation of animals. The Amherst mascot is a mammoth and their colors are purple and white. The distinguished science program at Amherst offers The Incubator Program, a cohort designed to support and train students who are underrepresented in STEM disciplines, and The Moss Quantitative Center where students learn to analyze data. A commencement tradition is to give each graduate a chestnut cane known as The Conway Canes. This Amherst tradition is a metaphor for a college education, because it supports graduates throughout their lives. Noteworthy alumni include the 30th president of the United States Calvin Coolidge, economist Joseph Stiglitz, and author David Foster Wallace. ",amherst-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,17490565,66,58,amherst college,amherst college,1002,89.7,84.6,71.8,80.8,83.3,56.9,81.9,78.43,1002,amherst college,amherst,MA,13.0,14540.0,1494.0,0.0982,0.842639593909,,18246.0,83650.0,13740.0,86438.0,64800.0,Private
256,appalachian state university,28608,NC,,99800.0,22221,Rural,large,"Located in Boone, NC, in the Blue Ridge Mountains, Appalachian State University seeks to create a sustainable community and give students a range of academic opportunities. The university offers around 170 majors for students to pursue. The most popular programs are in exercise science, psychology and elementary education. More than 40% of undergraduates participate in an academic internship each year. Undergraduates are also allowed to partake in stipend-funded research assistantships during the fall and spring semesters. There are more than 400 student clubs on campus, including 32 Greek life organizations. The university awards 50 North Carolina students from low-income families the ACCESS Scholarship, which allows them to attend the school debt-free. The university also gives many merit scholarships and departmental academic scholarships.",appalachian-state-university,Public,Master's Colleges & Universities: Larger Programs,16,14356893,70,47,appalachian state university,appalachian state university,28608,63.5,86.9,73.0,76.2,76.2,67.5,84.9,75.46,28608,appalachian state university,boone,NC,32.0,8995.0,1187.0,0.8864,0.685619735259,16487.0,,22654.0,20231.0,48423.0,38100.0,Public
117,auburn university,36849,AL,,123300.0,34568,Urban,large,"Auburn University is a public research university located in Auburn, Ala. Founded as a men’s Methodist college, Auburn has since developed into one of the largest universities in the South with more than 30,000 students. Auburn offers more than 150 undergraduate majors across 12 colleges. The most popular majors are business administration, mechanical engineering, finance, and biomedical studies. As a recognized Carnegie R1 research university, undergraduate students are able to participate in interdisciplinary academic research for credit. Auburn has an additional campus in Montgomery, Ala. Of the more than 300 clubs and organizations, there are about 50 Greek life chapters at Auburn. On the annual tradition of “Hey Day,” Auburn students are encouraged to greet any student or faculty member they come across on campus. Before each football game, handlers release a live golden eagle known as the “War Eagle” to fly around Jordan-Hare Stadium. The university’s two eagles are also part of educational programs in veterinary medicine. A number of famed alumni achieved worldwide recognition, including Apple CEO Tim Cook, former NBA star Charles Barkley, Oscar-winning actress Octavia Spencer, and current Alabama governor Kay Ivey.",auburn-university-main-campus,Public,Doctoral Universities: Very High Research Activity,20,38057494,79,74,auburn university,auburn university,36849,72.4,79.8,74.7,76.3,64.1,59.0,85.3,73.09,36849,auburn university,auburn,AL,13.0,11907.0,1318.0,0.5047,0.664,23897.0,,34402.0,21000.0,61406.0,50800.0,Public
117,auburn university,36849,AL,,123300.0,34568,Urban,large,"Auburn University is a public research university located in Auburn, Ala. Founded as a men’s Methodist college, Auburn has since developed into one of the largest universities in the South with more than 30,000 students. Auburn offers more than 150 undergraduate majors across 12 colleges. The most popular majors are business administration, mechanical engineering, finance, and biomedical studies. As a recognized Carnegie R1 research university, undergraduate students are able to participate in interdisciplinary academic research for credit. Auburn has an additional campus in Montgomery, Ala. Of the more than 300 clubs and organizations, there are about 50 Greek life chapters at Auburn. On the annual tradition of “Hey Day,” Auburn students are encouraged to greet any student or faculty member they come across on campus. Before each football game, handlers release a live golden eagle known as the “War Eagle” to fly around Jordan-Hare Stadium. The university’s two eagles are also part of educational programs in veterinary medicine. A number of famed alumni achieved worldwide recognition, including Apple CEO Tim Cook, former NBA star Charles Barkley, Oscar-winning actress Octavia Spencer, and current Alabama governor Kay Ivey.",auburn-university-main-campus,Public,Doctoral Universities: Very High Research Activity,20,38057494,79,74,auburn university,auburn university,36849,72.4,79.8,74.7,76.3,64.1,59.0,85.3,73.09,36849,auburn university,auburn,AL,13.0,11907.0,1318.0,0.5047,0.664,23897.0,,34402.0,21000.0,61406.0,50800.0,Public
96,babson college,2457,MA,B+,175200.0,4256,Suburban,medium,"Babson College is a private business school in Wellesley, Massachusetts and was established in 1919 with a central focus of entrepreneurship education. Babson’s undergraduate program gives students a hands-on business school experience mixed with the liberal arts and sciences. The Foundations of Management and Entrepreneurship is a required course at Babson where first-year undergraduate students learn to build and run their own business. Students then showcase their creations and business-plan at the annual FME Expo at the Len Green Recreation and Athletics Complex. Babson hosts many professional events on campus to provide students with networking opportunities and professors act as mentors. Advanced Experiential is a required course for third or fourth year students that include applied projects at companies and nonprofits. The Babson Leadership Academy guides students to improve leadership competence, the Student Government Association is the voice of the student body where students can play an active role in organizing and implementing campus-wide programming. At Babson, 24 undergraduate concentrations and 7 graduate concentrations provide an opportunity for students to pursue interests that align with long-term goals. Notable alumni include President of Toyota Akio Toyoda, co-founder of The Home Depot Arthur Blank, Princess Marie of Denmark, Swiss businessman Ernesto Berterelli, businessman Gustavo Cisneros, and the great-grandson of Henry Ford I Edsel Ford II.",babson-college,Private not-for-profit,Special Focus Four-Year: Business & Management Schools,16,13425562,70,68,babson college,babson college,2457,66.7,75.0,66.7,81.9,72.2,62.5,76.4,71.63,2457,babson college,wellesley,MA,21.0,19491.0,1435.0,0.1974,0.890510948905,,38876.0,77248.0,20000.0,102507.0,95800.0,Private
152,baylor university,76706,TX,A-,123300.0,23218,Urban,large,"The world’s largest Baptist university, Baylor University in Waco, Texas applies faith-based principles to scholarly and artistic pursuits. Baylor’s history dates back to 1845, making it the oldest continually operating university in the state. Of the more than 125 majors and minors offered, nursing is one of the largest programs at Baylor, while biology, accounting, and communications are also popular. The Carnegie Classification recognized Baylor as an R1 university, putting them at the forefront of research and discovery in higher education. Baylor’s endowment value reached $2 billion in fiscal year 2022—an all-time high for the university. $72 million went to scholarships, professorships and more. More than 90% of Baylor undergraduates receive financial aid through endowed scholarships, loans, or private grants. Baylor hosts more than 375 student organizations. The Baylor Bears have 19 sports teams, with more than 500 student-athletes. Baylor is one of the only private institutions in the NCAA Division I Big 12 Conference. The university has forged several gameday traditions, including “sailgating” along the Brazos River or playing against Baylor’s oldest Texas rival, Texas Christian University.",baylor-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,92039661,97,96,baylor university,baylor university,76706,71.3,70.8,71.3,71.3,73.1,56.5,80.6,70.7,76798,baylor university,waco,TX,12.0,11631.0,1313.0,0.5099,0.755983106523,,41942.0,70130.0,23000.0,61504.0,51200.0,Private
186,bentley university,2452,MA,C+,144800.0,5458,Urban,medium,"Bentley University in Waltham, Mass. is a private institution just miles from Boston. The university incorporates arts and sciences into a business education, supplied to more than 4,000 undergraduate students. The university offers nearly 30 undergraduate majors and 34 minors across 17 academic departments. With an average class size of 26 students, Bentley students can benefit from specialized learning. Most students complete an internship during their time at Bentley, which pays off, as the university’s career services report a 99% job placement rate for students. Outside of the classroom, Bentley’s student life draws meaningful connections with fellow students. The university is home to more than 100 student organizations, along with 11 fraternities and sororities. Bentley facilitates hundreds of campus events, where there is no shortage of activities to stay involved. The Falcons are members of the NCAA-affiliated Northeast-10 Conference. From awards banquets to the annual Spring Day concert, many highly anticipated campus events leave lasting impressions on students. Former president of Liberia Charles Taylor attended the university, as did veteran television host Jay Leno and Frederick Payne, former governor of Maine.",bentley-university,Private not-for-profit,Master's Colleges & Universities: Larger Programs,12,25477734,84,81,bentley university,bentley university,2452,71.4,67.9,61.9,69.0,73.8,61.9,78.6,69.21,2452,bentley university,waltham,MA,13.0,15685.0,1340.0,0.4844,0.865,,38787.0,77082.0,25023.0,102857.0,79200.0,Private
59,boston college,2467,MA,B+,142200.0,16849,Urban,large,"Boston College is a private Jesuit research university in Chestnut Hill, Massachusetts. There are more than 273 student-run groups for BC students to join and about 3,600 student interviews conducted on campus each year through the Career Center. The Campus Activities Board is a student-led group that coordinates campus-wide programs, fosters school spirit, and organizes events such as concerts, the homecoming dance, trivia nights, pub series, and off-campus trips to Boston. Senior week, takes place just before Commencement and consists of a Dance Through the Decades, an Alumni Toast, and a Commencement Ball. Alumni include actress Amy Poehler, actor Chris O’Donnell, United States senator Edward Markey and football quarterback Matt Ryan. ",boston-college,Private not-for-profit,Doctoral Universities: Very High Research Activity,12,50592266,53,40,boston college,boston college,2467,78.7,69.2,76.3,81.4,66.0,57.1,77.6,72.33,2467,boston college,chestnut hill,MA,13.0,17441.0,1501.0,0.1565,0.884201077199,,39866.0,83683.0,19000.0,89620.0,82200.0,Private
