School,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
Yale University,96.8,86.3,88.3,66.1,74.7,68.8,86.6,81.09
"University of California, Berkeley",96.1,83.8,87.8,55.5,52.7,49.8,79.4,72.16
Stanford University,95.8,86.3,92.5,89.7,71.0,63.7,92.7,84.53
Massachusetts Institute of Technology (MIT),95.7,83.2,87.1,71.6,66.4,62.1,55.6,74.53
Columbia University in the City of New York,95.7,83.7,77.2,68.5,59.3,50.6,74.1,72.73
Dartmouth College,94.7,84.7,83.3,91.2,79.6,57.8,85.2,82.36
Williams College,94.1,87.5,84.4,93.8,94.0,72.6,93.8,88.6
Cornell University,93.5,82.2,89.5,81.6,59.0,54.2,91.5,78.79
University of Notre Dame,93.5,85.9,80.4,84.1,78.3,52.9,91.3,80.91
University of Pennsylvania,93.3,73.1,85.3,49.3,66.0,62.0,76.7,72.24
Johns Hopkins University,92.9,58.1,75.8,47.5,51.0,50.0,70.2,63.64
Princeton University,92.8,79.3,91.3,92.0,77.5,72.0,90.6,85.07
Carnegie Mellon University,92.2,71.2,78.1,74.4,69.2,49.6,62.3,71.0
United States Naval Academy,91.7,77.5,86.7,93.3,80.0,58.3,76.7,80.6
Vanderbilt University,91.7,85.0,85.8,82.5,84.2,65.0,90.8,83.57
California Institute of Technology,91.3,76.0,76.7,84.0,57.3,58.0,75.3,74.09
Harvard University,91.3,81.3,86.3,72.2,53.0,60.4,82.6,75.3
Smith College,91.1,85.7,81.0,90.5,90.5,73.8,92.9,86.5
Brown University,91.0,83.1,78.8,74.8,77.9,60.8,76.6,77.57
Wellesley College,90.9,84.1,75.8,89.4,80.3,68.2,92.4,83.01
"University of Michigan, Ann Arbor",90.5,78.4,87.8,77.3,57.2,53.6,77.3,74.59
"University of Virginia, Main Campus",90.2,78.2,81.2,73.1,67.1,62.0,88.5,77.19
Amherst College,89.7,84.6,71.8,80.8,83.3,56.9,81.9,78.43
Duke University,89.5,71.4,87.8,58.0,66.7,55.1,82.7,73.03
"Georgia Institute of Technology, Main Campus",88.9,78.4,80.6,61.5,52.0,57.7,60.4,68.5
United States Military Academy,88.9,75.0,83.3,94.4,92.6,60.4,87.5,83.16
Vassar College,88.9,87.5,87.5,69.4,83.3,58.3,94.4,81.33
College of William and Mary,87.7,79.6,75.9,80.9,80.9,58.6,91.4,79.29
"Purdue University, Main Campus",87.6,76.4,78.2,77.1,61.3,60.4,69.7,72.96
Carleton College,87.5,84.6,78.2,92.3,89.7,76.9,83.3,84.64
Middlebury College,87.5,81.3,75.0,77.1,87.5,68.8,87.5,80.67
University of Chicago,87.2,80.8,88.5,47.4,73.5,56.0,85.0,74.06
Swarthmore College,86.9,75.0,76.9,88.5,89.7,71.8,88.5,82.47
Georgetown University,86.7,78.6,71.4,62.2,65.6,52.4,79.8,70.96
Rice University,86.7,76.0,79.3,79.3,84.0,65.3,83.3,79.13
United States Air Force Academy,86.1,66.7,69.4,95.8,87.5,59.7,70.8,76.57
University of North Carolina at Chapel Hill,86.1,83.9,84.6,76.2,66.3,57.1,88.1,77.47
Rose-Hulman Institute of Technology,85.9,71.2,75.6,89.7,84.6,70.5,69.2,78.1
University of Southern California,85.6,80.0,85.6,55.2,71.7,60.6,79.4,74.01
New York University,85.4,72.3,76.2,62.8,59.4,42.6,65.5,66.31
"University of California, Los Angeles",85.2,76.2,80.9,69.4,53.3,48.4,78.7,70.3
Coastal Carolina University,84.4,85.8,86.1,88.3,87.8,87.2,84.4,86.29
Emory University,84.3,66.2,85.3,83.3,72.9,62.5,77.5,76.0
Oberlin College,84.3,76.4,85.1,90.7,89.8,61.1,79.8,81.03
University of Illinois at Urbana-Champaign,84.0,75.7,85.9,68.8,55.3,52.1,70.8,70.37
Tulane University of Louisiana,83.3,76.9,69.9,57.1,71.8,53.2,80.8,70.43
University of Texas at Austin,83.1,80.4,87.6,73.9,61.8,57.5,76.9,74.46
Northwestern University,82.5,71.8,69.7,59.8,62.4,47.4,75.6,67.03
Rensselaer Polytechnic Institute,81.3,71.9,77.1,72.2,68.1,56.3,56.3,69.03
"California Polytechnic State Univ, San Luis Obispo",81.2,85.9,71.7,80.4,82.6,57.2,70.3,75.61
Colgate University,81.1,76.8,69.0,90.5,75.0,61.9,94.7,78.43
Reed College,81.1,83.3,81.1,85.6,90.0,72.2,80.0,81.9
Villanova University,80.8,73.2,82.1,80.8,73.1,64.1,83.3,76.77
Berea College,80.6,70.8,62.5,76.4,83.3,56.9,68.1,71.23
University of Florida,80.3,77.8,81.0,73.0,58.3,48.1,80.0,71.21
"University of Wisconsin, Madison",80.1,78.4,80.4,67.6,56.1,49.4,76.6,69.8
Pomona College,80.0,77.8,77.8,70.4,74.1,74.1,64.8,74.14
Bard College,79.4,84.8,82.8,87.1,88.3,80.9,82.8,83.73
"Pennsylvania State University, Penn State Main Campus",79.2,81.8,85.3,76.7,58.8,54.4,80.0,73.74
Boston College,78.7,69.2,76.3,81.4,66.0,57.1,77.6,72.33
Virginia Polytechnic Institute and State Univ,78.7,81.6,81.6,80.1,63.2,59.9,88.0,76.16
Brandeis University,78.3,73.8,80.0,85.8,80.0,52.5,63.3,73.39
Bucknell University,78.3,65.0,65.0,93.3,81.7,70.0,85.0,76.9
"Miami University, Oxford",78.2,70.7,76.4,71.8,70.1,54.8,91.4,73.34
Harvey Mudd College,77.4,82.1,81.0,85.7,91.7,79.8,50.0,78.24
Fordham University,77.4,83.9,75.0,51.2,75.0,53.6,76.2,70.33
