school,zip code,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score
yale university,06520,96.8,86.3,88.3,66.1,74.7,68.8,86.6,81.09
university of california berkeley,94720,96.1,83.8,87.8,55.5,52.7,49.8,79.4,72.16
stanford university,94305,95.8,86.3,92.5,89.7,71,63.7,92.7,84.53
massachusetts institute of technology,02139,95.7,83.2,87.1,71.6,66.4,62.1,55.6,74.53
columbia university in  city of new york,10027,95.7,83.7,77.2,68.5,59.3,50.6,74.1,72.73
dartmouth college,03755,94.7,84.7,83.3,91.2,79.6,57.8,85.2,82.36
williams college,01267,94.1,87.5,84.4,93.8,94,72.6,93.8,88.6
cornell university,14853,93.5,82.2,89.5,81.6,59,54.2,91.5,78.79
university of notre dame,46556,93.5,85.9,80.4,84.1,78.3,52.9,91.3,80.91
university of pennsylvania,19104,93.3,73.1,85.3,49.3,66,62,76.7,72.24
johns hopkins university,21218,92.9,58.1,75.8,47.5,51,50,70.2,63.64
princeton university,08544,92.8,79.3,91.3,92,77.5,72,90.6,85.07
carnegie mellon university,15213,92.2,71.2,78.1,74.4,69.2,49.6,62.3,71
united states naval academy,21402,91.7,77.5,86.7,93.3,80,58.3,76.7,80.6
vanderbilt university,37240,91.7,85,85.8,82.5,84.2,65,90.8,83.57
california institute of technology,91125,91.3,76,76.7,84,57.3,58,75.3,74.09
harvard university,02138,91.3,81.3,86.3,72.2,53,60.4,82.6,75.3
smith college,01063,91.1,85.7,81,90.5,90.5,73.8,92.9,86.5
brown university,02912,91,83.1,78.8,74.8,77.9,60.8,76.6,77.57
wellesley college,02481,90.9,84.1,75.8,89.4,80.3,68.2,92.4,83.01
university of michigan ann arbor,48109,90.5,78.4,87.8,77.3,57.2,53.6,77.3,74.59
university of virginia,22903,90.2,78.2,81.2,73.1,67.1,62,88.5,77.19
amherst college,01002,89.7,84.6,71.8,80.8,83.3,56.9,81.9,78.43
duke university,27708,89.5,71.4,87.8,58,66.7,55.1,82.7,73.03
georgia institute of technology,30332,88.9,78.4,80.6,61.5,52,57.7,60.4,68.5
united states military academy,10996,88.9,75,83.3,94.4,92.6,60.4,87.5,83.16
vassar college,12604,88.9,87.5,87.5,69.4,83.3,58.3,94.4,81.33
william&mary,23185,87.7,79.6,75.9,80.9,80.9,58.6,91.4,79.29
purdue university,47907,87.6,76.4,78.2,77.1,61.3,60.4,69.7,72.96
carleton college,55057,87.5,84.6,78.2,92.3,89.7,76.9,83.3,84.64
middlebury college,05753,87.5,81.3,75,77.1,87.5,68.8,87.5,80.67
university of chicago,60637,87.2,80.8,88.5,47.4,73.5,56,85,74.06
swarthmore college,19081,86.9,75,76.9,88.5,89.7,71.8,88.5,82.47
georgetown university,20057,86.7,78.6,71.4,62.2,65.6,52.4,79.8,70.96
rice university,77005,86.7,76,79.3,79.3,84,65.3,83.3,79.13
united states air force academy,80840,86.1,66.7,69.4,95.8,87.5,59.7,70.8,76.57
university of north carolina chapel hill,27514,86.1,83.9,84.6,76.2,66.3,57.1,88.1,77.47
rose hulman institute of technology,47803,85.9,71.2,75.6,89.7,84.6,70.5,69.2,78.1
university of sourn california,90089,85.6,80,85.6,55.2,71.7,60.6,79.4,74.01
new york university,10003,85.4,72.3,76.2,62.8,59.4,42.6,65.5,66.31
university of california los angeles,90095,85.2,76.2,80.9,69.4,53.3,48.4,78.7,70.3
coastal carolina university,29528,84.4,85.8,86.1,88.3,87.8,87.2,84.4,86.29
emory university,30322,84.3,66.2,85.3,83.3,72.9,62.5,77.5,76
oberlin college,44074,84.3,76.4,85.1,90.7,89.8,61.1,79.8,81.03
university of illinois urbana champaign,61801,84,75.7,85.9,68.8,55.3,52.1,70.8,70.37
tulane university,70118,83.3,76.9,69.9,57.1,71.8,53.2,80.8,70.43
university of texas austin,78712,83.1,80.4,87.6,73.9,61.8,57.5,76.9,74.46
northwestern university,60208,82.5,71.8,69.7,59.8,62.4,47.4,75.6,67.03
rensselaer polytechnic institute,12180,81.3,71.9,77.1,72.2,68.1,56.3,56.3,69.03
california polytechnic state university san luis obispo,93407,81.2,85.9,71.7,80.4,82.6,57.2,70.3,75.61
colgate university,13346,81.1,76.8,69,90.5,75,61.9,94.7,78.43
reed college,97202,81.1,83.3,81.1,85.6,90,72.2,80,81.9
villanova university,19085,80.8,73.2,82.1,80.8,73.1,64.1,83.3,76.77
berea college,40404,80.6,70.8,62.5,76.4,83.3,56.9,68.1,71.23
university of florida,32611,80.3,77.8,81,73,58.3,48.1,80,71.21
university of wisconsin madison,53706,80.1,78.4,80.4,67.6,56.1,49.4,76.6,69.8
pomona college,91711,80,77.8,77.8,70.4,74.1,74.1,64.8,74.14
bard college,12504,79.4,84.8,82.8,87.1,88.3,80.9,82.8,83.73
pennsylvania state university main campus,16802,79.2,81.8,85.3,76.7,58.8,54.4,80,73.74
boston college,02467,78.7,69.2,76.3,81.4,66,57.1,77.6,72.33
virginia polytechnic institute and state university,24061,78.7,81.6,81.6,80.1,63.2,59.9,88,76.16
brandeis university,02453,78.3,73.8,80,85.8,80,52.5,63.3,73.39
bucknell university,17837,78.3,65,65,93.3,81.7,70,85,76.9
miami university,45056,78.2,70.7,76.4,71.8,70.1,54.8,91.4,73.34
harvey mudd college,91711,77.4,82.1,81,85.7,91.7,79.8,50,78.24
fordham university,10458,77.4,83.9,75,51.2,75,53.6,76.2,70.33
tufts university,02155,77.2,69.7,71.9,78.1,73.7,57,71.9,71.36
texas a&m university college station,77843,77,73.5,77,83,63.7,59.7,71.3,72.17
pepperdine university,90263,77,76.3,70,84.2,77.5,56.7,91,76.1
sourn methodist university,75275,77,73.9,80.2,73.5,79.5,57.6,83.3,75
wesleyan university,06459,76.7,80,81.7,74.1,83.3,63.3,71.7,75.83
centre college,40422,76.4,75,80.6,83.3,94.4,70.8,84.7,80.74
claremont mckenna college,91711,76.2,85.7,73.8,78.6,71.4,69,52.4,72.44
brigham young university,84602,76.1,83.1,84.7,95.3,69.6,61,81.3,78.73
lehigh university,18015,76,78.1,75,65.6,71.9,52.1,83.3,71.71
wake forest university,27109,75.8,75,77.3,80.3,80.3,66.7,80.3,76.53
washington university in st louis,63130,75.6,75,78.9,68.9,76.7,62.2,74.4,73.1
university of california san diego,92093,75.3,66.7,79.5,78.1,50.7,45.4,79.9,67.94
university of washington seattle,98195,74.6,78.2,81,69.9,61.8,53.9,82.1,71.64
drexel university,19104,74.6,61.8,71.9,35.1,42.1,39.5,41.2,52.31
indiana university bloomington,47405,74.5,75.4,85,76.9,59.8,53.8,91,73.77
worcester polytechnic institute,01609,74.4,78.8,80.8,71.8,79.5,57.7,74.4,73.91
saint louis university main campus,63103,74.4,78.8,75.6,60.3,71.8,66.7,84.6,73.17
university of california davis,95616,74.2,80.1,78.8,82.2,59.5,51.9,71.2,71.13
college of  holy cross,01610,74.2,81.8,77.3,78.8,84.8,69.7,87.9,79.21
mount holyoke college,01075,74.2,59.1,69.7,87.9,83.3,63.6,93.6,75.91
rochester institute of technology,14623,74.1,74.1,78.3,77,68.8,50.6,49.1,67.43
university of san diego,92110,73.8,71.4,69,71.4,66.7,64.3,81,71.09
colorado school of mines,80401,73.8,60.7,50,78.6,52.4,50,52.4,59.7
valparaiso university,46383,73.8,76.8,73.8,85.7,86.9,73.8,72.6,77.63
pratt institute main,11205,73.8,50,42.9,31,47.6,35.7,59.5,48.64
university of california santa barbara,93106,73.6,81.9,74.1,64.8,59.7,54.2,87.5,70.83
missouri university of science and technology,65409,73.5,73.5,66.7,75.5,73.5,60.8,48,67.36
ohio state university,43210,73.5,75,80.1,62,59.6,59.3,71.9,68.77
north carolina a&t state university,27411,73.3,75,76.7,61.7,73.3,73.3,75,72.61
boston university,02215,73.3,67,77.8,68.5,61.5,52.2,58.9,65.6
