Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3,Average Net Price_1
79699,abilene christian university,abilene,TX,12.0,8590.0,1189.0,0.6388,0.513994910941,56121.0,24250.0,52257.0,42400.0,328,TX,A,110800.0,5760,Urban,medium,"Abilene Christian University in Abilene, TX, is a private university that educates students for Christan service and leadership. Undergraduates can choose from over 70 majors in the arts and sciences, business, education, nursing and biblical studies. ACU has a satellite campus in Addison, TX, which serves as the hub to the university’s online programs. ACU offers study abroad opportunities with its faculty in Oxford, England; Montevideo, Uruguay; and Leipzig, Germany, and about 40% of students learn internationally. The university also provides faculty-guided funding to promote undergraduate research, up to $10,000. Spiritual formation is a cornerstone of the ACU experience, and students are required to attend daily chapel services and practice Christian values, like chastity outside of marriage. Students also get involved in more than 100 student organizations, including Greek life, and global and domestic missions. ACU has a block tuition system in which students can take up to 36 hours across the fall, spring and summer sessions for one price. Automatic merit awards range from $10,000 to $19,000 annually.",abilene-christian-university,Private not-for-profit,Doctoral/Professional Universities,13,21891542.0,100.0,100.0,69.2,82.7,65.4,70.5,71.8,56.4,64.1,68.59,27401.0
11530,adelphi university,garden city,NY,21.0,13227.0,1224.0,0.7751,0.706500956023,57444.0,25000.0,71399.0,56200.0,271,NY,C-,108000.0,8463,Suburban,medium,"Adelphi University’s mission is to create a personalized education for a diverse student body. The private university, located an hour away from New York York City in Garden City, NY, is completing a six-year strategic plan to increase fundraising and implement diversity and inclusion initiatives. The university offers about 60 bachelor’s programs across seven of its schools and colleges. About one-quarter of students pursue nursing. Psychology and biology are also popular majors.  About 94% of the class of 2019 found employment or enrolled in graduate school within six months of graduating. The average reported salary of Adelphi class of 2019 graduates was about $75,000. There are more than 90 registered clubs and organizations on campus, including 20 Greek life organizations. Adelphi is home to Bridges Launch, a three-week program for students with autism or nonverbal learning disabilities to transition to college. The university was recognized for having resources for these students available on campus.",adelphi-university,Private not-for-profit,Doctoral/Professional Universities,12,35859059.0,97.0,95.0,53.8,61.5,67.9,71.8,65.4,51.3,71.8,63.36,28348.0
30030,agnes scott college,decatur,GA,21.0,9149.0,1296.0,0.6731,0.647321428571,60585.0,26749.0,50997.0,37600.0,453,GA,B+,99400.0,1217,Suburban,small,"Located outside of Atlanta, GA, Agnes Scott College is an innovative women’s college with an experiential learning-based liberal arts core. The college offers close to 40 undergraduate majors, as well as programs in pre-health and pre-law. Psychology, biology and neuroscience are among the popular programs. Agnes Scott is part of the Atlanta Regional Council for Higher Education institution, allowing students to cross-register at any of the 18 other member colleges. Students take advantage of hands-on experiences at Agnes Scott; all first-year students engage in global immersion as part of the lliberal arts curriculum, and about half study abroad again. On average, 70% of students complete an internship and 36% are involved in research. The tight-knit community comes together through its 60 student organizations and wealth of traditions, including the sophomore ring ceremony. More than 80% of students are involved in community service. As a women’s college, Agnes Scott admits students who were assigned female at birth, as well as those who were assigned male or female at birth but who now identify as female, transgender, agender, gender fluid or non-binary. New for Fall 2022, all incoming students will receive the Agnes Assurance Scholarship, worth $22,000 annually, or a merit scholarship in a higher amount up to $26,000 annually. The college also offers awards covering the cost of attendance through Presidential Scholarships, and for Hispanic students through the Goizueta Scholarship.",agnes-scott-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,10348553.0,100.0,100.0,59.5,75.0,54.8,88.1,76.2,52.4,90.5,70.93,24224.0
16335,allegheny college,meadville,PA,32.0,8452.0,1292.0,0.5853,0.731770833333,70614.0,27000.0,56341.0,46600.0,454,PA,C+,119000.0,1682,Rural,small,"Allegheny College in Meadville, PA, is a private liberal arts college that encourages a well-rounded education for students. The college offers over 30 undergraduate majors, as well as pre-professional programs in health and law. Students can take dual degree courses with other colleges, like Case Western Reserve University and Chatham University. Popular programs include economics, environmental science and biology. Outside of the classroom, students take part in some of the more than 100 clubs, complete over 25,000 hours of community service annually and take part in undergraduate research. The Trustee Scholarship is the most prestigious award at the college, gifting up to $38,000 annually. The Top 10% Admission Program grants automatic admission to students from western Pennsylvania who graduate in the 10% of their class. Within eight months of graduation, over 90% of graduates are employed or continuing their education. Top industries include finance, healthcare, advanced manufacturing, government, non-profit work and education.",allegheny-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,17380328.0,100.0,100.0,54.2,53.1,66.7,75.0,61.9,50.0,72.9,61.97,21900.0
20016,american university,washington,DC,11.0,13264.0,1392.0,0.4738,0.751326762699,71549.0,22750.0,70443.0,56400.0,141,DC,B-,129900.0,16934,Urban,large,"American University in Washington, D.C. is a private research university of more than 13,000 students. The 90-acre urban campus allows students to combine traditional college settings with the advantages of a global capital city. AU offers more than 170 programs across eight schools, with a large portion of undergraduates studying international relations, business administration, and communications. Around 90% of undergraduates complete at least one internship before graduation. Of the incoming students at American University, 80% of them receive financial aid, and nearly $100 million worth of financial aid is awarded to undergraduates per year. Since 2017, the university has been led by Sylvia Burwell, former U.S. secretary of health and human services and American University’s first woman president. Students can stay involved through AU’s 250 student-run organizations, 25 clubs sports, or special events that include live music festivals, guest speakers and seminars. Several news anchors such as David Gregory and Alisyn Camerota graduated from American University, as did four current members of Congress.",american-university,Private not-for-profit,Doctoral Universities: High Research Activity,11,42361894.0,83.0,66.0,67.5,68.8,60.8,77.5,65.0,50.8,64.2,64.94,41945.0
1002,amherst college,amherst,MA,13.0,14540.0,1494.0,0.0982,0.842639593909,83650.0,13740.0,86438.0,64800.0,24,MA,A+,139700.0,2041,Suburban,small,"Amherst College is a private liberal arts college in Amherst, Massachusetts. With small classes, an open curriculum, and a sole focus on undergraduate education, the average class size is about 19 students and the full-time instructional faculty is just over 200. On campus, The Powerhouse is a renovated steam plant that now hosts live performances, movie screenings, art exhibits, panel discussions, pub nights, outdoor picnics and more. The Amherst College Wildlife Sanctuary rests on about 500 acres of land and is the site of ongoing research and teaching by students and faculty. The land is managed by the Amherst Facilities Department to support conservation of animals. The Amherst mascot is a mammoth and their colors are purple and white. The distinguished science program at Amherst offers The Incubator Program, a cohort designed to support and train students who are underrepresented in STEM disciplines, and The Moss Quantitative Center where students learn to analyze data. A commencement tradition is to give each graduate a chestnut cane known as The Conway Canes. This Amherst tradition is a metaphor for a college education, because it supports graduates throughout their lives. Noteworthy alumni include the 30th president of the United States Calvin Coolidge, economist Joseph Stiglitz, and author David Foster Wallace. ",amherst-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,17490565.0,66.0,58.0,89.7,84.6,71.8,80.8,83.3,56.9,81.9,78.43,18246.0
28608,appalachian state university,boone,NC,32.0,8995.0,1187.0,0.8864,0.685619735259,22654.0,20231.0,48423.0,38100.0,256,NC,,99800.0,22221,Rural,large,"Located in Boone, NC, in the Blue Ridge Mountains, Appalachian State University seeks to create a sustainable community and give students a range of academic opportunities. The university offers around 170 majors for students to pursue. The most popular programs are in exercise science, psychology and elementary education. More than 40% of undergraduates participate in an academic internship each year. Undergraduates are also allowed to partake in stipend-funded research assistantships during the fall and spring semesters. There are more than 400 student clubs on campus, including 32 Greek life organizations. The university awards 50 North Carolina students from low-income families the ACCESS Scholarship, which allows them to attend the school debt-free. The university also gives many merit scholarships and departmental academic scholarships.",appalachian-state-university,Public,Master's Colleges & Universities: Larger Programs,16,14356893.0,70.0,47.0,63.5,86.9,73.0,76.2,76.2,67.5,84.9,75.46,16487.0
36849,auburn university,auburn,AL,13.0,11907.0,1318.0,0.5047,0.664,34402.0,21000.0,61406.0,50800.0,117,AL,,123300.0,34568,Urban,large,"Auburn University is a public research university located in Auburn, Ala. Founded as a men’s Methodist college, Auburn has since developed into one of the largest universities in the South with more than 30,000 students. Auburn offers more than 150 undergraduate majors across 12 colleges. The most popular majors are business administration, mechanical engineering, finance, and biomedical studies. As a recognized Carnegie R1 research university, undergraduate students are able to participate in interdisciplinary academic research for credit. Auburn has an additional campus in Montgomery, Ala. Of the more than 300 clubs and organizations, there are about 50 Greek life chapters at Auburn. On the annual tradition of “Hey Day,” Auburn students are encouraged to greet any student or faculty member they come across on campus. Before each football game, handlers release a live golden eagle known as the “War Eagle” to fly around Jordan-Hare Stadium. The university’s two eagles are also part of educational programs in veterinary medicine. A number of famed alumni achieved worldwide recognition, including Apple CEO Tim Cook, former NBA star Charles Barkley, Oscar-winning actress Octavia Spencer, and current Alabama governor Kay Ivey.",auburn-university-main-campus,Public,Doctoral Universities: Very High Research Activity,20,38057494.0,79.0,74.0,72.4,79.8,74.7,76.3,64.1,59.0,85.3,73.09,23897.0
36849,auburn university,auburn,AL,13.0,11907.0,1318.0,0.5047,0.664,34402.0,21000.0,61406.0,50800.0,117,AL,,123300.0,34568,Urban,large,"Auburn University is a public research university located in Auburn, Ala. Founded as a men’s Methodist college, Auburn has since developed into one of the largest universities in the South with more than 30,000 students. Auburn offers more than 150 undergraduate majors across 12 colleges. The most popular majors are business administration, mechanical engineering, finance, and biomedical studies. As a recognized Carnegie R1 research university, undergraduate students are able to participate in interdisciplinary academic research for credit. Auburn has an additional campus in Montgomery, Ala. Of the more than 300 clubs and organizations, there are about 50 Greek life chapters at Auburn. On the annual tradition of “Hey Day,” Auburn students are encouraged to greet any student or faculty member they come across on campus. Before each football game, handlers release a live golden eagle known as the “War Eagle” to fly around Jordan-Hare Stadium. The university’s two eagles are also part of educational programs in veterinary medicine. A number of famed alumni achieved worldwide recognition, including Apple CEO Tim Cook, former NBA star Charles Barkley, Oscar-winning actress Octavia Spencer, and current Alabama governor Kay Ivey.",auburn-university-main-campus,Public,Doctoral Universities: Very High Research Activity,20,38057494.0,79.0,74.0,72.4,79.8,74.7,76.3,64.1,59.0,85.3,73.09,23897.0
91702,azusa pacific university,azusa,CA,21.0,10096.0,1155.0,0.7948,0.524090909091,54735.0,23219.0,60930.0,52500.0,276,CA,D,105700.0,9415,Suburban,medium,"One of the largest Christian universities on the West Coast, Azusa Pacific University is a private institution located in Azusa, CA, 26 miles northeast of Los Angeles, that implements faith into curriculum. APU offers 57 majors for students to choose from. A large portion of the student body pursues nursing, while business and psychology are also popular programs. Students at Azusa Pacific University are required to complete community service as one of the university’s four cornerstones. Students can complete this by spending a service year abroad, completing a university-sponsored service program in Mexico, or participating in local community groups. All students are required to attend chapel three times each week. During the more than 200 chapel services every year, the university invites speakers such as faculty, local pastors, and recording artists.",azusa-pacific-university,Private not-for-profit,Doctoral Universities: High Research Activity,10,16896643.0,99.0,99.0,35.7,60.7,42.9,66.7,50.0,31.0,47.6,47.8,19798.0
