Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Average Net Price (Public)_1,Average Net Price (Private)_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3
87110,a better u beauty barber academy,albuquerque,NM,11.0,,,,,,18460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63501,a t still university of health sciences,kirksville,MO,33.0,10244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59526,aaniiih nakoda college,harlem,MT,43.0,4725.0,,,,11811.0,,16133.0,,26949.0,21800.0,,,,,,,,,,,,,,,,,,,,,,,
90703,abc adult school,cerritos,CA,21.0,,,,,16096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90703,abc adult school   cabrillo lane,cerritos,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75081,abc beauty academy,richardson,TX,12.0,,,,,,10107.0,,,19156.0,,,,,,,,,,,,,,,,,,,,,,,,
90304,abco technology,inglewood,CA,21.0,5625.0,,,,,14659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48075,abcott institute,southfield,MI,13.0,,,,0.736434108527,,21007.0,,10411.0,21147.0,,,,,,,,,,,,,,,,,,,,,,,,
79699,abilene christian university,abilene,TX,12.0,8590.0,1189.0,0.6388,0.513994910941,,27401.0,56121.0,24250.0,52257.0,42400.0,328,TX,A,110800.0,5760,Urban,medium,"Abilene Christian University in Abilene, TX, is a private university that educates students for Christan service and leadership. Undergraduates can choose from over 70 majors in the arts and sciences, business, education, nursing and biblical studies. ACU has a satellite campus in Addison, TX, which serves as the hub to the university’s online programs. ACU offers study abroad opportunities with its faculty in Oxford, England; Montevideo, Uruguay; and Leipzig, Germany, and about 40% of students learn internationally. The university also provides faculty-guided funding to promote undergraduate research, up to $10,000. Spiritual formation is a cornerstone of the ACU experience, and students are required to attend daily chapel services and practice Christian values, like chastity outside of marriage. Students also get involved in more than 100 student organizations, including Greek life, and global and domestic missions. ACU has a block tuition system in which students can take up to 36 hours across the fall, spring and summer sessions for one price. Automatic merit awards range from $10,000 to $19,000 annually.",abilene-christian-university,Private not-for-profit,Doctoral/Professional Universities,13,21891542.0,100.0,100.0,69.2,82.7,65.4,70.5,71.8,56.4,64.1,68.59
75001,abilene christian university undergraduate online,addison,TX,21.0,,,1.0,0.513994910941,,12714.0,19042.0,24250.0,52257.0,42400.0,,,,,,,,,,,,,,,,,,,,,,,
31793,abraham baldwin agricultural college,tifton,GA,32.0,7368.0,994.0,0.7716,0.232774674115,6061.0,,13103.0,16750.0,35026.0,33000.0,,,,,,,,,,,,,,,,,,,,,,,
91210,abraham lincoln university,glendale,CA,12.0,,,,,,24825.0,31720.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43204,academia medical institute,columbus,OH,11.0,,,0.4081,,,24751.0,28083.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55431,academy college,bloomington,MN,13.0,3193.0,,,0.468085106383,,31307.0,34240.0,29500.0,45488.0,33100.0,,,,,,,,,,,,,,,,,,,,,,,
61083,academy di capelli,east hartford,CT,,,,,0.629032258065,,,,6333.0,23385.0,,,,,,,,,,,,,,,,,,,,,,,,
6492,academy di capelli school of cosmetology,wallingford,CT,21.0,,,,0.629032258065,,13622.0,,6333.0,23385.0,,,,,,,,,,,,,,,,,,,,,,,,
29574,academy for careers and technology,mullins,SC,32.0,,,,,3766.0,,,,44794.0,,,,,,,,,,,,,,,,,,,,,,,,
32601,academy for five element acupuncture,gainesville,FL,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701,academy for jewish religion,yonkers,NY,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90045,academy for jewish religion california,los angeles,CA,11.0,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33417,academy for nursing and health occupations,west palm beach,FL,21.0,7978.0,,,0.490196078431,,29971.0,,20293.0,46813.0,38000.0,,,,,,,,,,,,,,,,,,,,,,,
91324,academy for salon professionals,northridge,CA,11.0,,,,0.797297297297,,12408.0,,6333.0,18053.0,,,,,,,,,,,,,,,,,,,,,,,,
37411,academy of allied health careers,chattanooga,TN,12.0,,,,,,9095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94105,academy of art university,san francisco,CA,11.0,8256.0,,,0.100392841554,,39778.0,47195.0,31000.0,35980.0,38000.0,,,,,,,,,,,,,,,,,,,,,,,
94105,academy of art university,san francisco,CA,11.0,8256.0,,,0.100392841554,,39778.0,47195.0,31000.0,35980.0,38000.0,,,,,,,,,,,,,,,,,,,,,,,
64083,academy of beauty professionals,raymore,MO,21.0,,,,,,23899.0,,6333.0,25527.0,16900.0,,,,,,,,,,,,,,,,,,,,,,,
53719,academy of beauty professionals,madison,WI,11.0,,,,,,,,6333.0,25527.0,16900.0,,,,,,,,,,,,,,,,,,,,,,,
54914,academy of beauty professionals,appleton,WI,22.0,,,,,,,,6333.0,25527.0,16900.0,,,,,,,,,,,,,,,,,,,,,,,
54303,academy of beauty professionals,green bay,WI,12.0,,,,,,,,6333.0,25527.0,16900.0,,,,,,,,,,,,,,,,,,,,,,,
34741,academy of career training,kissimmee,FL,13.0,,,,0.5,,,,6105.0,22537.0,,,,,,,,,,,,,,,,,,,,,,,,
25801,academy of careers and technology,beckley,WV,13.0,,,,0.76,3350.0,,,,30958.0,26200.0,,,,,,,,,,,,,,,,,,,,,,,
94612,academy of chinese culture and health sciences,oakland,CA,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94612,academy of chinese culture and health sciences,oakland,CA,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32953,academy of cosmetology,merritt island,FL,21.0,,,,0.58064516129,,19226.0,,5500.0,19153.0,19900.0,,,,,,,,,,,,,,,,,,,,,,,
73159,academy of cosmetology barbering and estics,oklahoma city,OK,11.0,,,,,,,,,13252.0,16800.0,,,,,,,,,,,,,,,,,,,,,,,
59715,academy of cosmetology inc,bozeman,MT,13.0,,,,,,15890.0,,,31621.0,,,,,,,,,,,,,,,,,,,,,,,,
91340,academy of estics and cosmetology,san fernando,CA,21.0,,,,,,18458.0,,,17728.0,,,,,,,,,,,,,,,,,,,,,,,,
78741,academy of hair design   austin,austin,TX,,,,,0.7,,,,9500.0,22647.0,,,,,,,,,,,,,,,,,,,,,,,,
38901,academy of hair design grenada,grenada,MS,41.0,,,,0.618181818182,,20493.0,,6786.0,22192.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
39211,academy of hair design jackson,jackson,MS,12.0,,,,0.618181818182,,20068.0,,6786.0,22192.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
75951,academy of hair design jasper,jasper,TX,33.0,,,,0.3625,,10928.0,,11125.0,19033.0,16500.0,,,,,,,,,,,,,,,,,,,,,,,
89146,academy of hair design las vegas,las vegas,NV,11.0,,,,0.772727272727,,20435.0,,6333.0,23244.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
73134,academy of hair design llc,oklahoma city,OK,11.0,,,,0.529411764706,,15080.0,,16500.0,18750.0,,,,,,,,,,,,,,,,,,,,,,,,
75904,academy of hair design lufkin,lufkin,TX,33.0,,,,0.3625,,11990.0,,11125.0,19033.0,16500.0,,,,,,,,,,,,,,,,,,,,,,,
39208,academy of hair design pearl,pearl,MS,21.0,,,,,,20326.0,,6500.0,24384.0,17700.0,,,,,,,,,,,,,,,,,,,,,,,
39401,academy of hair design six,hattiesburg,MS,13.0,,,,0.659090909091,,19488.0,,9500.0,20983.0,17900.0,,,,,,,,,,,,,,,,,,,,,,,
65804,academy of hair design springfield,springfield,MO,12.0,,,,0.7,,17080.0,,9500.0,22647.0,,,,,,,,,,,,,,,,,,,,,,,,
29615,academy of hair technology,greenville,SC,21.0,,,,0.526315789474,,,,3417.0,27769.0,19300.0,,,,,,,,,,,,,,,,,,,,,,,
98109,academy of interactive entertainment,seattle,WA,11.0,,,0.65,0.78431372549,,36609.0,40039.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,
70506,academy of interactive entertainment,lafayette,LA,12.0,4917.0,,0.8,0.725,,33319.0,36693.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,
19701,academy of massage and bodywork,bear,DE,21.0,,,,0.83606557377,,,,6333.0,25470.0,,,,,,,,,,,,,,,,,,,,,,,,
80631,academy of natural rapy inc,greeley,CO,12.0,,,,0.638888888889,,,,7917.0,31758.0,,,,,,,,,,,,,,,,,,,,,,,,
72756,academy of professional cosmetology,rogers,AR,13.0,,,,,,19083.0,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,
72901,academy of salon and spa,fort smith,AR,13.0,,,,,,14155.0,,4833.0,23379.0,,,,,,,,,,,,,,,,,,,,,,,,
72901,academy of salon and spa,fort smith,AR,13.0,,,,,,14155.0,,4833.0,23379.0,,,,,,,,,,,,,,,,,,,,,,,,
65301,academy of salon professionals,sedalia,MO,33.0,,,,0.571428571429,,15071.0,,9833.0,,,,,,,,,,,,,,,,,,,,,,,,,
19103,academy of vocal arts,philadelphia,PA,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84601,acaydia school of aestics,provo,UT,12.0,,,,,,19568.0,,7667.0,23952.0,,,,,,,,,,,,,,,,,,,,,,,,
11550,access careers,hempstead,NY,21.0,,,,0.651162790698,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,
11749,access careers islandia,islandia,NY,21.0,,,,0.651162790698,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,
10018,ace institute of technology,new york,NY,11.0,,,,0.773722627737,,35092.0,,6471.0,39513.0,,,,,,,,,,,,,,,,,,,,,,,,
94704,acupuncture and integrative medicine college berkeley,berkeley,CA,12.0,7500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33176,acupuncture and massage college,miami,FL,13.0,4774.0,,,0.659574468085,,34656.0,38168.0,7600.0,25141.0,33800.0,,,,,,,,,,,,,,,,,,,,,,,
81101,adams state university,alamosa,CO,33.0,7075.0,,,0.278056951424,14173.0,,23800.0,19500.0,43072.0,32300.0,,,,,,,,,,,,,,,,,,,,,,,
11530,adelphi university,garden city,NY,21.0,13227.0,1224.0,0.7751,0.706500956023,,28348.0,57444.0,25000.0,71399.0,56200.0,271,NY,C-,108000.0,8463,Suburban,medium,"Adelphi University’s mission is to create a personalized education for a diverse student body. The private university, located an hour away from New York York City in Garden City, NY, is completing a six-year strategic plan to increase fundraising and implement diversity and inclusion initiatives. The university offers about 60 bachelor’s programs across seven of its schools and colleges. About one-quarter of students pursue nursing. Psychology and biology are also popular majors.  About 94% of the class of 2019 found employment or enrolled in graduate school within six months of graduating. The average reported salary of Adelphi class of 2019 graduates was about $75,000. There are more than 90 registered clubs and organizations on campus, including 20 Greek life organizations. Adelphi is home to Bridges Launch, a three-week program for students with autism or nonverbal learning disabilities to transition to college. The university was recognized for having resources for these students available on campus.",adelphi-university,Private not-for-profit,Doctoral/Professional Universities,12,35859059.0,97.0,95.0,53.8,61.5,67.9,71.8,65.4,51.3,71.8,63.36
55343,adler graduate school,minnetonka,MN,13.0,7360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60602,adler university,chicago,IL,11.0,7379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49221,adrian college,adrian,MI,32.0,6360.0,1030.0,0.6837,0.393536121673,,21504.0,54950.0,27000.0,47820.0,42100.0,,,,,,,,,,,,,,,,,,,,,,,
32503,adrian h wallace barber academy,pensacola,FL,13.0,,,,,,11291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95380,adrians beauty college of turlock,turlock,CA,23.0,,,,0.684210526316,,24393.0,,7422.0,19861.0,,,,,,,,,,,,,,,,,,,,,,,,
43211,adult and community education hudson,columbus,OH,11.0,,,1.0,0.734375,15805.0,,,14750.0,53795.0,44100.0,,,,,,,,,,,,,,,,,,,,,,,
7601,adult and continuing education bcts,hackensack,NJ,21.0,,,,,14358.0,,,3608.0,48021.0,35100.0,,,,,,,,,,,,,,,,,,,,,,,
43215,adult&community education columbus city schools   fort hayes career,columbus,OH,,,,,0.734375,,,,14750.0,53795.0,44100.0,,,,,,,,,,,,,,,,,,,,,,,
92843,advance beauty college,garden grove,CA,21.0,,,,0.850694444444,,11689.0,,,9287.0,15300.0,,,,,,,,,,,,,,,,,,,,,,,
92583,advance beauty techs academy,san jacinto,CA,12.0,,,,0.724137931034,,28695.0,,5406.0,13610.0,,,,,,,,,,,,,,,,,,,,,,,,
33014,advance science international college,miami lakes,FL,21.0,935.0,,,,,31336.0,,,27261.0,21600.0,,,,,,,,,,,,,,,,,,,,,,,
78596,advanced barber college and hair design,weslaco,TX,21.0,,,,0.475177304965,,20784.0,,,16989.0,20900.0,,,,,,,,,,,,,,,,,,,,,,,
93291,advanced career institute,visalia,CA,12.0,,,,0.841346153846,,,,6331.0,52067.0,,,,,,,,,,,,,,,,,,,,,,,,
53963,advanced college of cosmetology,waupun,WI,32.0,,,,,,13510.0,,,22387.0,,,,,,,,,,,,,,,,,,,,,,,,
23462,advanced technology institute,virginia beach,VA,11.0,5319.0,,0.6096,0.717054263566,,18497.0,25540.0,14873.0,45223.0,37900.0,,,,,,,,,,,,,,,,,,,,,,,
89118,advanced training institute,las vegas,NV,12.0,,,,0.766483516484,,,,7600.0,41694.0,,,,,,,,,,,,,,,,,,,,,,,,
5403,advanced welding institute,south burlington,VT,13.0,,,,,,24554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7724,advantage career institute,eatontown,NJ,21.0,,,,,,12869.0,,4856.0,,,,,,,,,,,,,,,,,,,,,,,,,
32803,advenalth university,orlando,FL,11.0,8762.0,,,0.43059490085,,31885.0,38194.0,24590.0,68561.0,56900.0,,,,,,,,,,,,,,,,,,,,,,,
12110,aestic science institute,latham,NY,21.0,,,,,,10505.0,,6333.0,39889.0,,,,,,,,,,,,,,,,,,,,,,,,
63123,aestics institute,st. louis,MO,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93721,agape college of business and science,fresno,CA,11.0,4318.0,,,,,6330.0,13465.0,,,,,,,,,,,,,,,,,,,,,,,,,,
