,Variable 1,Variable 2,Correlation,p-value
213,Prestige,studentFacultyRatio,-0.819,0.0
329,studentFacultyRatio,Prestige,-0.819,0.0
189,rank,medianBaseSalary,-0.674,3e-05
304,medianBaseSalary,rank,-0.674,3e-05
212,Prestige,studentPopulation,-0.647,8e-05
313,studentPopulation,Prestige,-0.647,8e-05
334,studentFacultyRatio,Average Score,-0.628,0.00016
303,Average Score,studentFacultyRatio,-0.628,0.00016
374,percentOfStudentsGrant,medianBaseSalary,-0.59,0.00048
310,medianBaseSalary,percentOfStudentsGrant,-0.59,0.00048
302,Average Score,studentPopulation,-0.581,0.0006
318,studentPopulation,Average Score,-0.581,0.0006
234,Satisfaction,studentFacultyRatio,-0.578,0.00067
330,studentFacultyRatio,Satisfaction,-0.578,0.00067
272,School Administration,Murder and nonnegligent manslaughter,-0.566,0.0009
23,Murder and nonnegligent manslaughter,School Administration,-0.566,0.0009
335,studentFacultyRatio,medianBaseSalary,-0.557,0.00115
308,medianBaseSalary,studentFacultyRatio,-0.557,0.00115
203,Prestige,rank,-0.555,0.00119
186,rank,Prestige,-0.555,0.00119
314,studentPopulation,Satisfaction,-0.553,0.00127
233,Satisfaction,studentPopulation,-0.553,0.00127
24,Murder and nonnegligent manslaughter,Average Score,-0.512,0.00323
332,studentFacultyRatio,Safety,-0.512,0.00325
290,Average Score,Murder and nonnegligent manslaughter,-0.512,0.00323
263,Safety,studentFacultyRatio,-0.512,0.00325
61,Aggravated assault,percentOfStudentsFinAid,-0.51,0.00341
351,percentOfStudentsFinAid,Aggravated assault,-0.51,0.00341
262,Safety,studentPopulation,-0.509,0.00343
316,studentPopulation,Safety,-0.509,0.00343
361,percentOfStudentsFinAid,medianBaseSalary,-0.502,0.00403
309,medianBaseSalary,percentOfStudentsFinAid,-0.502,0.00403
147,Arson1,percentOfStudentsFinAid,-0.493,0.00483
354,percentOfStudentsFinAid,Arson1,-0.493,0.00483
62,Aggravated assault,percentOfStudentsGrant,-0.481,0.00615
368,percentOfStudentsGrant,Aggravated assault,-0.481,0.00615
60,Aggravated assault,totalGrantAid,-0.472,0.00734
342,totalGrantAid,Aggravated assault,-0.472,0.00734
331,studentFacultyRatio,Resources & Facilities,-0.463,0.00874
255,Resources & Facilities,studentFacultyRatio,-0.463,0.00874
17,Violent crime,percentOfStudentsFinAid,-0.461,0.00906
350,percentOfStudentsFinAid,Violent crime,-0.461,0.00906
370,percentOfStudentsGrant,Arson1,-0.459,0.00944
148,Arson1,percentOfStudentsGrant,-0.459,0.00944
319,studentPopulation,medianBaseSalary,-0.452,0.01062
307,medianBaseSalary,studentPopulation,-0.452,0.01062
187,rank,Satisfaction,-0.446,0.01201
225,Satisfaction,rank,-0.446,0.01201
95,Burglary,percentOfStudentsFinAid,-0.44,0.01335
352,percentOfStudentsFinAid,Burglary,-0.44,0.01335
195,Prestige,Murder and nonnegligent manslaughter,-0.436,0.0142
21,Murder and nonnegligent manslaughter,Prestige,-0.436,0.0142
325,studentFacultyRatio,Burglary,-0.43,0.01575
93,Burglary,studentFacultyRatio,-0.43,0.01575
367,percentOfStudentsGrant,Violent crime,-0.426,0.01673
18,Violent crime,percentOfStudentsGrant,-0.426,0.01673
238,Resources & Facilities,Murder and nonnegligent manslaughter,-0.425,0.01728
22,Murder and nonnegligent manslaughter,Resources & Facilities,-0.425,0.01728
235,Satisfaction,percentOfStudentsFinAid,-0.424,0.01749
359,percentOfStudentsFinAid,Satisfaction,-0.424,0.01749
146,Arson1,totalGrantAid,-0.413,0.02083
345,totalGrantAid,Arson1,-0.413,0.02083
358,percentOfStudentsFinAid,Prestige,-0.41,0.0218
214,Prestige,percentOfStudentsFinAid,-0.41,0.0218
340,totalGrantAid,Violent crime,-0.406,0.02334
16,Violent crime,totalGrantAid,-0.406,0.02334
315,studentPopulation,Resources & Facilities,-0.405,0.02386
254,Resources & Facilities,studentPopulation,-0.405,0.02386
183,rank,Aggravated assault,-0.404,0.02413
55,Aggravated assault,rank,-0.404,0.02413
94,Burglary,totalGrantAid,-0.401,0.0254
343,totalGrantAid,Burglary,-0.401,0.0254
372,percentOfStudentsGrant,Prestige,-0.395,0.02789
215,Prestige,percentOfStudentsGrant,-0.395,0.02789
96,Burglary,percentOfStudentsGrant,-0.392,0.02926
369,percentOfStudentsGrant,Burglary,-0.392,0.02926
139,Arson1,rank,-0.389,0.03045
184,rank,Arson1,-0.389,0.03045
125,Motor vehicle theft,studentFacultyRatio,-0.385,0.03256
326,studentFacultyRatio,Motor vehicle theft,-0.385,0.03256
145,Arson1,studentFacultyRatio,-0.381,0.03439
327,studentFacultyRatio,Arson1,-0.381,0.03439
373,percentOfStudentsGrant,Satisfaction,-0.379,0.0353
236,Satisfaction,percentOfStudentsGrant,-0.379,0.0353
289,School Administration,percentOfStudentsFinAid,-0.377,0.0368
353,percentOfStudentsFinAid,Motor vehicle theft,-0.377,0.03639
126,Motor vehicle theft,totalGrantAid,-0.377,0.0364
360,percentOfStudentsFinAid,School Administration,-0.377,0.0368
344,totalGrantAid,Motor vehicle theft,-0.377,0.0364
127,Motor vehicle theft,percentOfStudentsFinAid,-0.377,0.03639
333,studentFacultyRatio,School Administration,-0.374,0.03817
181,Crime Ratio,percentOfStudentsFinAid,-0.374,0.03817
356,percentOfStudentsFinAid,Crime Ratio,-0.374,0.03817
288,School Administration,studentFacultyRatio,-0.374,0.03817
317,studentPopulation,School Administration,-0.373,0.03898
188,rank,Average Score,-0.373,0.03879
294,Average Score,rank,-0.373,0.03879
287,School Administration,studentPopulation,-0.373,0.03898
164,Crime Sum,percentOfStudentsFinAid,-0.362,0.04508
355,percentOfStudentsFinAid,Crime Sum,-0.362,0.04508
11,Violent crime,rank,-0.359,0.04743
182,rank,Violent crime,-0.359,0.04743
29,Rape,Arson1,0.36,0.04698
129,Arson1,Rape,0.36,0.04698
32,Rape,studentPopulation,0.362,0.04535
311,studentPopulation,Rape,0.362,0.04535
108,Larceny- theft,Prestige,0.363,0.04453
199,Prestige,Larceny- theft,0.363,0.04453
258,Safety,Resources & Facilities,0.364,0.0441
250,Resources & Facilities,Safety,0.364,0.0441
291,Average Score,Burglary,0.365,0.04333
92,Burglary,Average Score,0.365,0.04333
220,Satisfaction,Larceny- theft,0.371,0.04003
109,Larceny- theft,Satisfaction,0.371,0.04003
341,totalGrantAid,Rape,0.372,0.03913
33,Rape,totalGrantAid,0.372,0.03913
293,Average Score,Crime Ratio,0.372,0.03943
180,Crime Ratio,Average Score,0.372,0.03943
194,Prestige,Violent crime,0.377,0.03632
12,Violent crime,Prestige,0.377,0.03632
375,percentOfStudentsGrant,studentPopulation,0.381,0.03461
324,studentPopulation,percentOfStudentsGrant,0.381,0.03461
144,Arson1,Average Score,0.382,0.03383
292,Average Score,Arson1,0.382,0.03383
197,Prestige,Property crime,0.384,0.03274
74,Property crime,Prestige,0.384,0.03274
35,Robbery,Murder and nonnegligent manslaughter,0.385,0.03244
20,Murder and nonnegligent manslaughter,Robbery,0.385,0.03244
201,Prestige,Crime Sum,0.387,0.03137
160,Crime Sum,Prestige,0.387,0.03137
257,Safety,Satisfaction,0.388,0.03104
362,percentOfStudentsFinAid,studentPopulation,0.388,0.03092
229,Satisfaction,Safety,0.388,0.03104
323,studentPopulation,percentOfStudentsFinAid,0.388,0.03092
124,Motor vehicle theft,School Administration,0.396,0.02741
277,School Administration,Motor vehicle theft,0.396,0.02741
176,Crime Ratio,Prestige,0.397,0.02692
202,Prestige,Crime Ratio,0.397,0.02692
177,Crime Ratio,Satisfaction,0.408,0.02268
224,Satisfaction,Crime Ratio,0.408,0.02268
1,Violent crime,Rape,0.41,0.02207
25,Rape,Violent crime,0.41,0.02207
190,rank,studentPopulation,0.413,0.02091
312,studentPopulation,rank,0.413,0.02091
122,Motor vehicle theft,Satisfaction,0.421,0.01843
221,Satisfaction,Motor vehicle theft,0.421,0.01843
75,Property crime,Satisfaction,0.422,0.01798
218,Satisfaction,Property crime,0.422,0.01798
196,Prestige,Aggravated assault,0.425,0.01724
56,Aggravated assault,Prestige,0.425,0.01724
376,percentOfStudentsGrant,studentFacultyRatio,0.437,0.01406
339,studentFacultyRatio,percentOfStudentsGrant,0.437,0.01406
31,Rape,Crime Ratio,0.438,0.01366
166,Crime Ratio,Rape,0.438,0.01366
211,Prestige,medianBaseSalary,0.439,0.01354
348,totalGrantAid,percentOfStudentsFinAid,0.439,0.01337
364,percentOfStudentsFinAid,totalGrantAid,0.439,0.01337
305,medianBaseSalary,Prestige,0.439,0.01354
243,Resources & Facilities,Motor vehicle theft,0.44,0.01328
123,Motor vehicle theft,Resources & Facilities,0.44,0.01328
208,Prestige,Teacher Support,0.443,0.01256
264,Teacher Support,Prestige,0.443,0.01256
223,Satisfaction,Crime Sum,0.443,0.01252
161,Crime Sum,Satisfaction,0.443,0.01252
338,studentFacultyRatio,percentOfStudentsFinAid,0.448,0.01153
363,percentOfStudentsFinAid,studentFacultyRatio,0.448,0.01153
88,Burglary,Prestige,0.451,0.01092
198,Prestige,Burglary,0.451,0.01092
140,Arson1,Prestige,0.454,0.01039
200,Prestige,Arson1,0.454,0.01039
230,Satisfaction,Teacher Support,0.457,0.00979
265,Teacher Support,Satisfaction,0.457,0.00979
349,totalGrantAid,percentOfStudentsGrant,0.5,0.0042
377,percentOfStudentsGrant,totalGrantAid,0.5,0.0042
216,Satisfaction,Violent crime,0.506,0.0037
13,Violent crime,Satisfaction,0.506,0.0037
322,studentPopulation,totalGrantAid,0.522,0.00257
346,totalGrantAid,studentPopulation,0.522,0.00257
260,Safety,Teacher Support,0.524,0.00249
267,Teacher Support,Safety,0.524,0.00249
150,Crime Sum,Rape,0.531,0.00211
30,Rape,Crime Sum,0.531,0.00211
231,Satisfaction,School Administration,0.536,0.00189
282,School Administration,Satisfaction,0.536,0.00189
207,Prestige,Safety,0.54,0.00171
256,Safety,Prestige,0.54,0.00171
222,Satisfaction,Arson1,0.541,0.00167
141,Arson1,Satisfaction,0.541,0.00167
89,Burglary,Satisfaction,0.544,0.00155
219,Satisfaction,Burglary,0.544,0.00155
57,Aggravated assault,Satisfaction,0.546,0.00149
217,Satisfaction,Aggravated assault,0.546,0.00149
242,Resources & Facilities,Larceny- theft,0.547,0.00144
110,Larceny- theft,Resources & Facilities,0.547,0.00144
27,Rape,Property crime,0.555,0.00121
64,Property crime,Rape,0.555,0.00121
