State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
AL,alabama a&m university,"6,681",4.0,0.0,1.0,0.0,3.0,71,21.0,50.0,0.0,0.0
AL,auburn university montgomery,"6,309",0.0,0.0,0.0,0.0,0.0,37,13.0,22.0,2.0,0.0
AL,jacksonville state university,"11,032",5.0,0.0,2.0,0.0,3.0,54,16.0,36.0,2.0,0.0
AL,lurleen b wallace community college,"2,419",1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
AL,southern union state community college,"5,815",0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0
AL,troy university,"18,782",4.0,0.0,2.0,0.0,2.0,30,5.0,24.0,1.0,0.0
AL,university of alabama birmingham,"25,963",52.0,0.0,6.0,2.0,44.0,332,15.0,296.0,21.0,0.0
AL,university of alabama huntsville,"11,142",1.0,0.0,1.0,0.0,0.0,40,2.0,37.0,1.0,0.0
AL,university of alabama tuscaloosa,"42,327",12.0,0.0,3.0,2.0,7.0,189,20.0,161.0,8.0,1.0
AL,university of north alabama,"10,645",1.0,0.0,1.0,0.0,0.0,33,8.0,22.0,3.0,0.0
AL,university of south alabama,"16,101",12.0,0.0,1.0,2.0,9.0,57,2.0,49.0,6.0,1.0
AL,university of west alabama,"8,789",1.0,0.0,1.0,0.0,0.0,14,2.0,10.0,2.0,0.0
AK,university of alaska anchorage,"17,368",7.0,0.0,3.0,0.0,4.0,60,5.0,47.0,8.0,2.0
AK,university of alaska fairbanks,"10,804",5.0,0.0,2.0,0.0,3.0,18,0.0,14.0,4.0,0.0
AZ,arizona state university tempe,"170,448",46.0,0.0,7.0,11.0,28.0,712,21.0,681.0,10.0,2.0
AZ,arizona western college,"12,342",0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,2.0,0.0
AZ,maricopa community college,,1.0,0.0,0.0,0.0,1.0,74,10.0,61.0,3.0,0.0
AZ,northern arizona university,"32,063",8.0,0.0,5.0,1.0,2.0,126,10.0,113.0,3.0,1.0
